18:00:00; Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4211
18:00:30; Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4135
18:17:35; Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4084
18:18:35; Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4078
18:21:35; Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4064
18:24:35; Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4059
18:25:35; Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4057
18:27:35; Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4044
18:30:05; Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4041
18:30:34; Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4032
18:32:34; Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4026
18:34:34; Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4022
18:36:04; Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4017
18:38:34; Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4002
18:41:04; Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3988
18:42:04; Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3997
18:44:34; Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3990
18:46:34; Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3990
18:49:33; Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3981
18:50:34; Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3965
18:52:03; Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3966
18:56:03; Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3955
18:57:33; Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3956
19:00:33; Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3941
