23:41:43, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4205
UConnect Schedule  prime=7
23:41:54, 18:00:11, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4138
00:26:19, 18:44:35, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4111
00:48:18, 19:06:34, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4100
00:50:17, 19:08:34, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4087
01:04:16, 19:22:33, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4093
01:05:46, 19:24:03, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4089
01:14:16, 19:32:33, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4082
01:39:14, 19:57:31, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4072
01:40:44, 19:59:01, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4058
01:53:44, 20:12:00, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4063
01:55:14, 20:13:30, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4059
01:57:14, 20:15:30, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4058
02:27:42, 20:45:58, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4039
02:39:11, 20:57:28, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4037
02:40:41, 20:58:58, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4035
03:05:09, 21:23:26, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4019
03:22:08, 21:40:25, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4002
03:23:38, 21:41:55, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4000
03:25:38, 21:43:55, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3991
03:33:38, 21:51:54, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4000
03:44:07, 22:02:24, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3981
03:46:07, 22:04:24, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3977
03:47:37, 22:05:54, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3975
03:56:07, 22:14:23, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3977
04:08:36, 22:26:53, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3964
04:25:05, 22:43:21, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3960
04:34:04, 22:52:21, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3957
04:35:34, 22:53:51, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3943
04:37:34, 22:55:51, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3941
04:56:33, 23:14:50, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3933
04:58:03, 23:16:19, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3928
05:01:03, 23:19:19, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3924
05:23:31, 23:41:48, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3912
05:25:31, 23:43:48, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3903
05:35:31, 23:53:48, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3909
05:51:00, 00:09:16, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3896
05:52:30, 00:10:46, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3890
06:07:29, 00:25:45, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3885
06:17:58, 00:36:15, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3869
06:19:58, 00:38:15, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3871
06:28:28, 00:46:44, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3878
