04:16:15, 00:23:D4:6A:A4:E2, GARBAGE, true
04:18:22, 00:23:D4:6A:A4:E2, GARBAGE, true
04:23:54, 00:23:D4:6A:A4:E2, GARBAGE, true
04:24:42, 00:23:D4:6A:A4:E2, GARBAGE, true
04:27:33, 00:23:D4:6A:A4:E2, GARBAGE, true
04:29:39, 00:23:D4:6A:A4:E2, GARBAGE, true
04:35:56, 00:23:D4:6A:A4:E2, GARBAGE, true
04:40:50, 00:23:D4:6A:A4:E2, GARBAGE, true
04:47:11, 00:23:D4:6A:A4:E2, GARBAGE, true
04:47:49, 00:23:D4:6A:A4:E2, GARBAGE, true
04:52:47, 00:23:D4:6A:A4:E2, 192.168.1.5, true
04:52:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
04:52:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
04:56:45, 00:23:D4:6A:A4:E2, GARBAGE, true
04:58:26, 00:23:D4:6A:A4:E2, GARBAGE, true
05:02:50, 00:23:D4:6A:A4:E2, GARBAGE, true
05:08:04, 00:23:D4:6A:A4:E2, GARBAGE, true
05:11:11, 00:23:D4:6A:A4:E2, 192.168.1.2, true
05:11:11, 00:23:D4:6A:A4:E2, GARBAGE IP, true
05:11:11, 00:23:D4:6A:A4:E2, GARBAGE IP, true
05:14:04, 00:23:D4:6A:A4:E2, GARBAGE, true
05:19:22, 00:23:D4:6A:A4:E2, GARBAGE, true
05:23:52, 00:23:D4:6A:A4:E2, GARBAGE, true
05:25:18, 00:23:D4:6A:A4:E2, GARBAGE, true
05:26:07, 00:23:D4:6A:A4:E2, 192.168.1.2, true
05:26:07, 00:23:D4:6A:A4:E2, GARBAGE IP, true
05:26:08, 00:23:D4:6A:A4:E2, GARBAGE IP, true
05:26:09, 00:23:D4:6A:A4:E2, 192.168.1.5, true
05:35:57, 00:23:D4:6A:A4:E2, 192.168.1.10, false
05:35:57, 00:23:D4:6A:A4:E2, GARBAGE IP, true
05:35:57, 00:23:D4:6A:A4:E2, GARBAGE IP, true
05:36:33, 00:23:D4:6A:A4:E2, GARBAGE, true
05:39:38, 00:23:D4:6A:A4:E2, GARBAGE, true
05:40:56, 00:23:D4:6A:A4:E2, GARBAGE, true
05:45:56, 00:23:D4:6A:A4:E2, 192.168.1.4, true
05:45:56, 00:23:D4:6A:A4:E2, GARBAGE IP, true
05:45:56, 00:23:D4:6A:A4:E2, GARBAGE IP, true
05:52:11, 00:23:D4:6A:A4:E2, GARBAGE, true
06:01:11, 00:23:D4:6A:A4:E2, 192.168.1.6, true
06:01:11, 00:23:D4:6A:A4:E2, GARBAGE IP, true
06:03:25, 00:23:D4:6A:A4:E2, GARBAGE, true
06:04:21, 00:23:D4:6A:A4:E2, GARBAGE, true
06:07:48, 00:23:D4:6A:A4:E2, GARBAGE, true
06:15:40, 00:23:D4:6A:A4:E2, GARBAGE, true
06:19:03, 00:23:D4:6A:A4:E2, GARBAGE, true
06:30:17, 00:23:D4:6A:A4:E2, GARBAGE, true
06:31:26, 00:23:D4:6A:A4:E2, GARBAGE, true
06:34:33, 00:23:D4:6A:A4:E2, 192.168.1.1, true
06:34:33, 00:23:D4:6A:A4:E2, GARBAGE IP, true
06:34:33, 00:23:D4:6A:A4:E2, GARBAGE IP, true
06:34:34, 00:23:D4:6A:A4:E2, 192.168.1.5, true
06:34:34, 00:23:D4:6A:A4:E2, GARBAGE IP, true
06:34:41, 00:23:D4:6A:A4:E2, GARBAGE, true
06:42:45, 00:23:D4:6A:A4:E2, GARBAGE, true
06:45:48, 00:23:D4:6A:A4:E2, 192.168.1.2, true
06:45:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
06:45:55, 00:23:D4:6A:A4:E2, GARBAGE, true
06:48:56, 00:23:D4:6A:A4:E2, 192.168.1.5, true
06:52:57, 00:23:D4:6A:A4:E2, 192.168.1.2, true
06:52:57, 00:23:D4:6A:A4:E2, GARBAGE IP, true
06:53:40, 00:23:D4:6A:A4:E2, 192.168.1.12, true
06:53:40, 00:23:D4:6A:A4:E2, GARBAGE IP, true
06:53:40, 00:23:D4:6A:A4:E2, GARBAGE IP, true
06:53:42, 00:23:D4:6A:A4:E2, 192.168.1.2, true
06:53:42, 00:23:D4:6A:A4:E2, GARBAGE IP, true
06:56:56, 00:23:D4:6A:A4:E2, 192.168.1.7, true
06:56:56, 00:23:D4:6A:A4:E2, GARBAGE IP, true
06:57:09, 00:23:D4:6A:A4:E2, GARBAGE, true
06:58:33, 00:23:D4:6A:A4:E2, GARBAGE, true
07:07:34, 00:23:D4:6A:A4:E2, 192.168.1.1, true
07:07:34, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:07:34, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:13:16, 00:23:D4:6A:A4:E2, GARBAGE, true
07:22:57, 00:23:D4:6A:A4:E2, GARBAGE, true
07:24:31, 00:23:D4:6A:A4:E2, GARBAGE, true
07:27:31, 00:23:D4:6A:A4:E2, GARBAGE, true
07:35:56, 00:23:D4:6A:A4:E2, GARBAGE, true
07:45:35, 00:23:D4:6A:A4:E2, GARBAGE, true
07:50:09, 00:23:D4:6A:A4:E2, GARBAGE, true
07:59:57, 00:23:D4:6A:A4:E2, GARBAGE, true
08:11:05, 00:23:D4:6A:A4:E2, GARBAGE, true
