22:29:30, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:29:30, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:29:30, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:29:30, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:30:29, 00:23:D4:6A:B9:0F, 192.168.1.2, true
22:30:29, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:30:32, 00:23:D4:6A:B9:0F, 192.168.1.8, true
22:30:32, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:30:32, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:30:32, 00:23:D4:6A:B9:0F, 192.168.1.11, true
22:30:32, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:30:32, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:31:12, 00:23:D4:6A:B9:0F, 192.168.1.8, true
22:31:12, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:31:12, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:31:14, 00:23:D4:6A:B9:0F, 192.168.1.2, true
22:31:15, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:46:00, 00:23:D4:6A:B9:0F, 192.168.1.12, true
22:46:00, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:46:45, 00:23:D4:6A:B9:0F, 192.168.1.6, true
22:46:45, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:55:12, 00:23:D4:6A:B9:0F, 192.168.1.8, true
22:55:56, 00:23:D4:6A:B9:0F, 192.168.1.5, true
22:55:56, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:56:40, 00:23:D4:6A:B9:0F, 192.168.1.5, true
22:56:40, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:57:36, 00:23:D4:6A:B9:0F, 192.168.1.4, true
22:57:36, 00:23:D4:6A:B9:0F, GARBAGE IP, true
22:57:36, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:11:03, 00:23:D4:6A:B9:0F, 192.168.1.5, true
23:11:04, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:14:48, 00:23:D4:6A:B9:0F, 192.168.1.1, true
23:14:48, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:14:48, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:16:53, 00:23:D4:6A:B9:0F, 192.168.1.8, true
23:16:53, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:16:53, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:16:54, 00:23:D4:6A:B9:0F, 192.168.1.1, true
23:16:54, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:16:54, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:27:32, 00:23:D4:6A:B9:0F, 192.168.1.6, true
23:27:32, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:28:13, 00:23:D4:6A:B9:0F, 192.168.1.3, true
23:28:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:28:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:28:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:29:08, 00:23:D4:6A:B9:0F, 192.168.1.8, true
23:29:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:29:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:31:14, 00:23:D4:6A:B9:0F, 192.168.1.4, true
23:31:14, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:31:14, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:31:56, 00:23:D4:6A:B9:0F, 192.168.1.4, true
23:31:56, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:39:28, 00:23:D4:6A:B9:0F, 192.168.1.3, true
23:39:28, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:39:28, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:39:28, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:41:34, 00:23:D4:6A:B9:0F, 192.168.1.5, true
23:41:34, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:52:52, 00:23:D4:6A:B9:0F, 192.168.1.11, true
23:52:52, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:52:52, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:53:34, 00:23:D4:6A:B9:0F, 192.168.1.11, true
23:53:34, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:53:34, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:53:35, 00:23:D4:6A:B9:0F, 192.168.1.6, true
23:53:35, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:54:16, 00:23:D4:6A:B9:0F, 192.168.1.11, true
23:54:16, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:54:16, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:54:18, 00:23:D4:6A:B9:0F, 192.168.1.6, true
23:54:18, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:54:21, 00:23:D4:6A:B9:0F, 192.168.1.5, true
00:05:10, 00:23:D4:6A:B9:0F, 192.168.1.8, true
00:05:10, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:05:10, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:05:55, 00:23:D4:6A:B9:0F, 192.168.1.8, true
00:05:55, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:05:55, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:34:22, 00:23:D4:6A:B9:0F, 192.168.1.3, true
00:35:05, 00:23:D4:6A:B9:0F, 192.168.1.2, true
00:35:05, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:35:46, 00:23:D4:6A:B9:0F, 192.168.1.5, true
00:44:59, 00:23:D4:6A:B9:0F, 192.168.1.3, true
00:45:03, 00:23:D4:6A:B9:0F, 192.168.1.1, true
00:45:03, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:45:03, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:46:27, 00:23:D4:6A:B9:0F, 192.168.1.1, true
00:46:27, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:47:06, 00:23:D4:6A:B9:0F, 192.168.1.2, true
00:49:27, 00:23:D4:6A:B9:0F, 192.168.1.2, true
00:49:27, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:50:12, 00:23:D4:6A:B9:0F, 192.168.1.2, true
00:50:12, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:50:52, 00:23:D4:6A:B9:0F, 192.168.1.2, true
00:50:52, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:53:59, 00:23:D4:6A:B9:0F, 192.168.1.6, true
00:53:59, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:53:59, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:53:59, 00:23:D4:6A:B9:0F, GARBAGE IP, true
