23:41:07, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4197
UConnect Schedule  prime=7
23:41:41, 18:00:34, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4169
23:46:19, 18:05:12, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4158
23:46:30, 18:05:23, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4204
23:46:56, 18:05:49, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4160
23:49:12, 18:08:05, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4146
23:49:14, 18:08:07, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4202
23:49:54, 18:08:47, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4154
00:22:41, 18:41:34, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4093
00:24:10, 18:43:04, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4081
00:24:40, 18:43:34, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4096
00:26:40, 18:45:33, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4075
00:39:39, 18:58:33, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4089
00:40:39, 18:59:33, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4049
00:42:09, 19:01:02, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4044
00:43:40, 19:02:33, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4049
01:20:07, 19:39:00, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4050
01:21:37, 19:40:30, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4047
01:44:06, 20:02:59, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4036
01:47:36, 20:06:29, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4034
01:55:35, 20:14:28, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4030
01:57:35, 20:16:28, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4021
02:38:33, 20:57:26, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4008
02:48:02, 21:06:55, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3999
02:50:02, 21:08:55, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3997
02:50:02, 21:08:55, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3997
02:56:31, 21:15:25, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3997
02:57:01, 21:15:55, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3983
02:58:31, 21:17:24, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3973
03:00:31, 21:19:24, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3974
03:08:31, 21:27:24, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3973
03:23:00, 21:41:53, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3947
03:24:30, 21:43:23, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3938
03:26:00, 21:44:53, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3941
03:27:30, 21:46:23, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3929
03:29:00, 21:47:53, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3927
03:30:29, 21:49:23, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3928
03:39:29, 21:58:22, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3918
03:48:29, 22:07:22, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3899
03:49:58, 22:08:51, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3895
03:49:58, 22:08:52, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3895
