19:45:17, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
19:45:20, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, true, update
19:46:38, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, bluetooth_network, true, update
19:46:55, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, true, update
