06:19:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:19:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:19:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:19:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:19:52, 00:23:D4:6A:B6:B9, 192.168.1.8, true
06:19:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:19:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:19:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:19:53, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:19:53, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:19:53, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:19:53, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:27:55, 00:23:D4:6A:B6:B9, GARBAGE, true
06:30:07, 00:23:D4:6A:B6:B9, GARBAGE, true
06:31:14, 00:23:D4:6A:B6:B9, GARBAGE, true
06:34:05, 00:23:D4:6A:B6:B9, GARBAGE, true
06:38:50, 00:23:D4:6A:B6:B9, GARBAGE, true
06:46:34, 00:23:D4:6A:B6:B9, GARBAGE, true
06:51:15, 00:23:D4:6A:B6:B9, GARBAGE, true
06:51:35, 00:23:D4:6A:B6:B9, GARBAGE, true
06:53:49, 00:23:D4:6A:B6:B9, GARBAGE, true
06:58:11, 00:23:D4:6A:B6:B9, GARBAGE, true
07:09:33, 00:23:D4:6A:B6:B9, GARBAGE, true
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
12:25:19 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
12:25:26, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth discovery, true, fresh, 1
12:25:27, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, 09, GARBAGE, bluetooth discovery, true, fresh, 2
12:25:28, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth discovery, true, fresh, 3
12:25:28, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth discovery, true, fresh, 4
12:25:30, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, phone, 192.168.1.4, wifi_network, true, old, 4
12:25:30, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 4
12:25:30, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 4
12:25:30, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 4
12:35:49, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth_network, true, old, 4
12:35:49, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth_network, true, old, 4
12:35:49, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, 09, GARBAGE, bluetooth_network, true, old, 4
12:35:49, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, phone, 192.168.1.2, bluetooth_network, true, fresh, 5
12:35:49, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth_network, true, old, 5
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
12:46:25 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
12:46:31, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth discovery, true, fresh, 1
12:46:31, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth discovery, true, fresh, 2
12:46:31, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, 09, GARBAGE, bluetooth discovery, true, fresh, 3
12:46:34, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth discovery, true, fresh, 4
12:52:36, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, phone, 192.168.1.4, wifi_network, true, old, 4
12:52:36, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 4
12:52:36, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 4
12:52:36, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 4
