12:43:32, 00:23:D4:6A:E5:21, 00:23:D4:6A:87:DE, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 7
12:43:32, 00:23:D4:6A:E5:21, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, false, fresh, 7
12:44:06, 00:23:D4:6A:E5:21, 00:23:D4:6A:87:DE, phone, 192.168.1.1, wifi_network, true, old, 7
12:44:06, 00:23:D4:6A:E5:21, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, false, fresh, 7
12:44:06, 00:23:D4:6A:E5:21, 00:23:D4:69:79:1C, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 7
12:44:08, 00:23:D4:6A:E5:21, 00:23:D4:69:79:1C, phone, 192.168.1.2, wifi_network, true, old, 7
12:44:08, 00:23:D4:6A:E5:21, 00:23:D4:6A:87:DE, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 7
12:44:08, 00:23:D4:6A:E5:21, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, false, fresh, 7
12:44:42, 00:23:D4:6A:E5:21, 00:23:D4:6A:87:DE, phone, 192.168.1.1, wifi_network, true, old, 7
12:44:42, 00:23:D4:6A:E5:21, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, false, fresh, 7
12:44:42, 00:23:D4:6A:E5:21, 00:23:D4:69:79:1C, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 7
12:45:18, 00:23:D4:6A:E5:21, 00:23:D4:6A:87:DE, phone, 192.168.1.1, wifi_network, true, old, 7
12:45:18, 00:23:D4:6A:E5:21, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, false, fresh, 7
12:45:18, 00:23:D4:6A:E5:21, 00:23:D4:69:79:1C, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 7
12:48:44, 00:23:D4:6A:E5:21, 00:23:D4:6A:B6:B9, ty, GARBAGE, bluetooth_network, true, old, 7
12:48:58, 00:23:D4:6A:E5:21, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth_network, true, old, 7
12:48:58, 00:23:D4:6A:E5:21, 00:23:D4:6A:A4:E2, 09, GARBAGE, bluetooth_network, true, old, 7
12:48:58, 00:23:D4:6A:E5:21, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth_network, true, old, 7
12:52:20, 00:23:D4:6A:E5:21, 00:23:D4:6A:A4:E2, phone, 192.168.1.7, wifi_network, true, old, 7
12:52:20, 00:23:D4:6A:E5:21, 00:23:D4:6A:B6:B9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 7
12:52:20, 00:23:D4:6A:E5:21, 00:23:D4:6A:22:09, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 7
12:52:20, 00:23:D4:6A:E5:21, 00:23:D4:6A:BB:92, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 7
