16:09:40, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, update
16:09:42, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:12:17, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, update
