16:09:47, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
16:09:48, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:11:34, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, update
16:12:12, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
