02:23:19, 00:23:D4:6A:B9:0F, GARBAGE, true
02:26:50, 00:23:D4:6A:B9:0F, 192.168.1.8, true
02:26:50, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:26:50, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:26:50, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:26:50, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:26:50, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:27:48, 00:23:D4:6A:B9:0F, GARBAGE, true
02:33:25, 00:23:D4:6A:B9:0F, GARBAGE, true
02:42:36, 00:23:D4:6A:B9:0F, GARBAGE, true
02:47:18, 00:23:D4:6A:B9:0F, GARBAGE, true
02:56:57, 00:23:D4:6A:B9:0F, 192.168.1.6, true
02:56:57, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:56:57, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:56:57, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:57:01, 00:23:D4:6A:B9:0F, 192.168.1.12, true
02:57:01, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:57:01, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:57:01, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:57:01, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:57:01, 00:23:D4:6A:B9:0F, GARBAGE IP, true
03:11:55, 00:23:D4:6A:B9:0F, GARBAGE, true
03:16:20, 00:23:D4:6A:B9:0F, GARBAGE, true
03:26:28, 00:23:D4:6A:B9:0F, GARBAGE, true
03:27:30, 00:23:D4:6A:B9:0F, GARBAGE, true
03:32:30, 00:23:D4:6A:B9:0F, GARBAGE, true
03:40:10, 00:23:D4:6A:B9:0F, GARBAGE, true
03:43:54, 00:23:D4:6A:B9:0F, GARBAGE, true
03:51:30, 00:23:D4:6A:B9:0F, GARBAGE, true
04:01:06, 00:23:D4:6A:B9:0F, GARBAGE, true
04:08:51, 00:23:D4:6A:B9:0F, GARBAGE, true
04:13:08, 00:23:D4:6A:B9:0F, GARBAGE, true
04:23:04, 00:23:D4:6A:B9:0F, 192.168.1.12, true
04:23:04, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:23:04, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:23:04, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:23:04, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:23:05, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:25:35, 00:23:D4:6A:B9:0F, GARBAGE, true
04:29:42, 00:23:D4:6A:B9:0F, GARBAGE, true
04:38:46, 00:23:D4:6A:B9:0F, GARBAGE, true
04:43:36, 00:23:D4:6A:B9:0F, GARBAGE, true
04:46:48, 00:23:D4:6A:B9:0F, GARBAGE, true
04:51:09, 00:23:D4:6A:B9:0F, GARBAGE, true
04:55:40, 00:23:D4:6A:B9:0F, GARBAGE, true
04:58:22, 00:23:D4:6A:B9:0F, GARBAGE, true
04:59:16, 00:23:D4:6A:B9:0F, GARBAGE, true
05:03:52, 00:23:D4:6A:B9:0F, GARBAGE, true
05:11:53, 00:23:D4:6A:B9:0F, GARBAGE, true
05:14:01, 00:23:D4:6A:B9:0F, GARBAGE, true
05:15:25, 00:23:D4:6A:B9:0F, GARBAGE, true
05:16:03, 00:23:D4:6A:B9:0F, GARBAGE, true
05:19:02, 00:23:D4:6A:B9:0F, GARBAGE, true
05:28:17, 00:23:D4:6A:B9:0F, GARBAGE, true
05:32:48, 00:23:D4:6A:B9:0F, GARBAGE, true
05:43:46, 00:23:D4:6A:B9:0F, GARBAGE, true
05:44:07, 00:23:D4:6A:B9:0F, GARBAGE, true
05:44:30, 00:23:D4:6A:B9:0F, GARBAGE, true
06:01:35, 00:23:D4:6A:B9:0F, GARBAGE, true
06:13:11, 00:23:D4:6A:B9:0F, GARBAGE, true
06:16:25, 00:23:D4:6A:B9:0F, GARBAGE, true
06:20:42, 00:23:D4:6A:B9:0F, GARBAGE, true
06:23:13, 00:23:D4:6A:B9:0F, GARBAGE, true
06:27:44, 00:23:D4:6A:B9:0F, GARBAGE, true
