05:32:31, 00:23:D4:6A:BB:92, GARBAGE, true
05:33:00, 00:23:D4:6A:BB:92, GARBAGE, true
05:42:21, 00:23:D4:6A:BB:92, GARBAGE, true
05:46:48, 00:23:D4:6A:BB:92, GARBAGE, true
05:54:14, 00:23:D4:6A:BB:92, GARBAGE, true
05:57:11, 00:23:D4:6A:BB:92, GARBAGE, true
06:01:34, 00:23:D4:6A:BB:92, GARBAGE, true
06:06:08, 00:23:D4:6A:BB:92, GARBAGE, true
06:09:00, 00:23:D4:6A:BB:92, GARBAGE, true
06:18:05, 00:23:D4:6A:BB:92, GARBAGE, true
06:19:08, 00:23:D4:6A:BB:92, GARBAGE, true
06:19:14, 00:23:D4:6A:BB:92, GARBAGE, true
06:28:44, 00:23:D4:6A:BB:92, GARBAGE, true
06:30:50, 00:23:D4:6A:BB:92, GARBAGE, true
06:32:08, 00:23:D4:6A:BB:92, GARBAGE, true
06:42:54, 00:23:D4:6A:BB:92, GARBAGE, true
06:51:54, 00:23:D4:6A:BB:92, GARBAGE, true
06:52:23, 00:23:D4:6A:BB:92, GARBAGE, true
06:54:42, 00:23:D4:6A:BB:92, GARBAGE, true
06:55:08, 00:23:D4:6A:BB:92, GARBAGE, true
06:59:02, 00:23:D4:6A:BB:92, GARBAGE, true
07:02:11, 00:23:D4:6A:BB:92, GARBAGE, true
07:21:38, 00:23:D4:6A:BB:92, GARBAGE, true
07:23:48, 00:23:D4:6A:BB:92, GARBAGE, true
07:28:37, 00:23:D4:6A:BB:92, GARBAGE, true
07:38:20, 00:23:D4:6A:BB:92, 192.168.1.12, true
07:38:20, 00:23:D4:6A:BB:92, GARBAGE IP, true
07:38:20, 00:23:D4:6A:BB:92, GARBAGE IP, true
07:38:20, 00:23:D4:6A:BB:92, GARBAGE IP, true
07:38:20, 00:23:D4:6A:BB:92, GARBAGE IP, true
07:38:20, 00:23:D4:6A:BB:92, GARBAGE IP, true
07:38:31, 00:23:D4:6A:BB:92, GARBAGE, true
07:47:50, 00:23:D4:6A:BB:92, GARBAGE, true
07:50:49, 00:23:D4:6A:BB:92, GARBAGE, true
07:52:59, 00:23:D4:6A:BB:92, GARBAGE, true
07:57:29, 00:23:D4:6A:BB:92, GARBAGE, true
08:06:42, 00:23:D4:6A:BB:92, GARBAGE, true
08:09:53, 00:23:D4:6A:BB:92, GARBAGE, true
08:14:21, 00:23:D4:6A:BB:92, GARBAGE, true
08:18:58, 00:23:D4:6A:BB:92, GARBAGE, true
08:21:32, 00:23:D4:6A:BB:92, GARBAGE, true
08:25:41, 00:23:D4:6A:BB:92, GARBAGE, true
08:34:44, 00:23:D4:6A:BB:92, GARBAGE, true
08:37:07, 00:23:D4:6A:BB:92, GARBAGE, true
08:40:20, 00:23:D4:6A:BB:92, GARBAGE, true
08:49:03, 00:23:D4:6A:BB:92, GARBAGE, true
08:54:34, 00:23:D4:6A:BB:92, GARBAGE, true
08:59:00, 00:23:D4:6A:BB:92, GARBAGE, true
09:03:32, 00:23:D4:6A:BB:92, GARBAGE, true
09:09:14, 00:23:D4:6A:BB:92, GARBAGE, true
09:11:27, 00:23:D4:6A:BB:92, GARBAGE, true
09:14:26, 00:23:D4:6A:BB:92, GARBAGE, true
09:19:31, 00:23:D4:6A:BB:92, GARBAGE, true
09:23:34, 00:23:D4:6A:BB:92, GARBAGE, true
09:32:54, 00:23:D4:6A:BB:92, GARBAGE, true
09:37:14, 00:23:D4:6A:BB:92, GARBAGE, true
09:47:27, 00:23:D4:6A:BB:92, GARBAGE, true
09:48:26, 00:23:D4:6A:BB:92, GARBAGE, true
09:48:49, 00:23:D4:6A:BB:92, GARBAGE, true
09:58:07, 00:23:D4:6A:BB:92, GARBAGE, true
10:01:14, 00:23:D4:6A:BB:92, GARBAGE, true
10:04:58, 00:23:D4:6A:BB:92, GARBAGE, true
10:12:41, 00:23:D4:6A:BB:92, GARBAGE, true
10:29:56, 00:23:D4:6A:BB:92, GARBAGE, true
10:34:19, 00:23:D4:6A:BB:92, GARBAGE, true
10:37:15, 00:23:D4:6A:BB:92, 192.168.1.8, true
10:37:15, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:37:15, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:37:15, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:37:15, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:37:15, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:44:26, 00:23:D4:6A:BB:92, GARBAGE, true
10:46:43, 00:23:D4:6A:BB:92, GARBAGE, true
10:50:53, 00:23:D4:6A:BB:92, GARBAGE, true
10:55:29, 00:23:D4:6A:BB:92, GARBAGE, true
10:59:57, 00:23:D4:6A:BB:92, GARBAGE, true
11:07:47, 00:23:D4:6A:BB:92, GARBAGE, true
11:25:09, 00:23:D4:6A:BB:92, GARBAGE, true
11:29:41, 00:23:D4:6A:BB:92, GARBAGE, true
11:32:51, 00:23:D4:6A:BB:92, GARBAGE, true
11:35:19, 00:23:D4:6A:BB:92, GARBAGE, true
11:36:42, 00:23:D4:6A:BB:92, GARBAGE, true
11:44:40, 00:23:D4:6A:BB:92, GARBAGE, true
11:53:59, 00:23:D4:6A:BB:92, GARBAGE, true
12:05:15, 00:23:D4:6A:BB:92, GARBAGE, true
12:08:45, 00:23:D4:6A:BB:92, GARBAGE, true
12:14:22, 00:23:D4:6A:BB:92, GARBAGE, true
12:22:46, 00:23:D4:6A:BB:92, GARBAGE, true
12:37:29, 00:23:D4:6A:BB:92, GARBAGE, true
12:44:15, 00:23:D4:6A:BB:92, GARBAGE, true
12:56:37, 00:23:D4:6A:BB:92, GARBAGE, true
13:01:16, 00:23:D4:6A:BB:92, GARBAGE, true
13:02:21, 00:23:D4:6A:BB:92, GARBAGE, true
13:09:59, 00:23:D4:6A:BB:92, GARBAGE, true
13:17:06, 00:23:D4:6A:BB:92, GARBAGE, true
