00:34:44, 18:00:00, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4057
UConnect Schedule  prime=7
01:05:21, 18:30:37, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4085
01:12:21, 18:37:36, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4071
01:13:50, 18:39:06, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4065
01:32:19, 18:57:35, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4059
01:33:49, 18:59:05, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4048
01:53:18, 19:18:34, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4050
02:03:18, 19:28:33, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4035
02:04:47, 19:30:03, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4039
02:33:16, 19:58:32, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4021
02:34:46, 20:00:02, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4010
02:45:15, 20:10:31, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4006
03:13:14, 20:38:29, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3993
03:32:12, 20:57:28, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4005
03:32:42, 20:57:58, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3976
03:34:12, 20:59:28, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3957
03:35:12, 21:00:28, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3960
03:36:12, 21:01:28, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3989
03:36:42, 21:01:58, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3957
03:38:12, 21:03:28, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3950
03:39:12, 21:04:28, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3945
03:49:11, 21:14:27, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3936
03:51:11, 21:16:27, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3943
03:52:41, 21:17:57, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3955
04:00:11, 21:25:27, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3946
04:41:38, 22:06:54, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3934
05:08:37, 22:33:53, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3925
