20:35:09, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
20:35:51, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
20:39:18, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
20:40:12, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
20:47:55, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
