20:35:58, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, bluetooth_network, true, update
20:36:00, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
20:37:42, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, true, update
