13:34:22 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
Device or resource busy DEVICE:qwerty [9 Mar 2011 19:36:54 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 19:45:28 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 19:45:29 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 19:49:23 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 19:49:24 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 19:53:44 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 19:53:45 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 19:57:35 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 20:08:41 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 20:08:43 GMT]
14:58:16 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
15:17:29 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
Device or resource busy DEVICE:qwerty [9 Mar 2011 21:20:01 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 21:28:27 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 21:28:28 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 21:32:42 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 21:32:47 GMT]
15:36:43 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
Device or resource busy DEVICE:qwerty [9 Mar 2011 21:39:16 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 21:47:46 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 21:47:47 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 21:52:01 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 21:52:07 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 21:56:03 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 21:56:04 GMT]
