00:07:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, true, fresh
00:34:14, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
00:34:14, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:34:14, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:34:14, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:34:14, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
00:34:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
00:34:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:34:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:34:51, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:34:51, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
00:50:33, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
00:50:33, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:50:33, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:50:33, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
00:50:57, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
00:50:57, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:50:57, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
00:51:44, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
00:51:44, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:51:44, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
00:52:18, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
00:52:18, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:52:18, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
00:52:18, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:52:18, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:53:09, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
00:53:09, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:53:09, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
00:53:09, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:53:09, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:59:08, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
00:59:08, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:59:08, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:59:08, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:59:08, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
01:00:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
01:00:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:00:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
01:00:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
01:00:50, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
01:02:18, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:02:18, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:02:18, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
01:02:18, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
01:02:18, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
