Device or resource busy DEVICE:qwerty [4 Mar 2011 08:33:58 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 08:33:58 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 08:33:59 GMT]
Device or resource busy DEVICE:HTC Dream [4 Mar 2011 08:33:59 GMT]
Service discovery failed DEVICE:sgaf [4 Mar 2011 08:34:05 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 08:39:10 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 08:39:10 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 08:39:11 GMT]
Device or resource busy DEVICE:HTC Dream [4 Mar 2011 08:39:12 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 08:44:16 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 08:44:16 GMT]
Device or resource busy DEVICE:HTC Dream [4 Mar 2011 08:44:17 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 08:44:17 GMT]
sgaf cancled election initiation [4 Mar 2011 08:44:19 GMT]
Service discovery failed DEVICE:sgaf [4 Mar 2011 09:11:44 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 09:11:45 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 09:11:46 GMT]
Device or resource busy DEVICE:HTC Dream [4 Mar 2011 09:11:46 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 09:11:47 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 09:16:51 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 09:16:52 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 09:21:56 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 09:27:01 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 09:27:02 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 09:32:06 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 09:32:07 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 09:37:11 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 09:42:17 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 09:42:17 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 09:47:22 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 09:52:27 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 09:57:30 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 09:57:30 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:02:36 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:07:40 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:12:46 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 10:17:51 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:17:51 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 10:17:52 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:22:59 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 10:23:00 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:28:05 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 10:33:06 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:33:06 GMT]
