13:34:19 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
Device or resource busy DEVICE:13 [9 Mar 2011 20:00:20 GMT]
Device or resource busy DEVICE:13 [9 Mar 2011 20:04:20 GMT]
