13:34:22 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
Device or resource busy DEVICE:qwerty [9 Mar 2011 19:36:54 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 19:45:28 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 19:45:29 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 19:49:23 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 19:49:24 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 19:53:44 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 19:53:45 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 19:57:35 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 20:08:41 GMT]
Device or resource busy DEVICE:qwerty [9 Mar 2011 20:08:43 GMT]
