08:49:09, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
08:49:11, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
08:49:11, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
08:49:11, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
08:49:13, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
08:49:14, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
08:49:35, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
08:51:30, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
