Service discovery failed DEVICE:qwerty [25 Feb 2011 15:05:28 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:05:30 GMT]
Service discovery failed DEVICE:asdf [25 Feb 2011 15:05:36 GMT]
Service discovery failed DEVICE:zxc [25 Feb 2011 15:05:40 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:05:43 GMT]
sgaf cancled election initiation [25 Feb 2011 15:05:43 GMT]
Service discovery failed DEVICE:ty [25 Feb 2011 15:32:23 GMT]
Service discovery failed DEVICE:zxc [25 Feb 2011 15:32:24 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:32:35 GMT]
Service discovery failed DEVICE:qwerty [25 Feb 2011 15:32:37 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:32:41 GMT]
09 cancled election initiation [25 Feb 2011 15:32:42 GMT]
sgaf cancled election initiation [25 Feb 2011 15:32:42 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 16:14:11 GMT]
Connection timed out DEVICE:ty [25 Feb 2011 16:14:40 GMT]
Service discovery failed DEVICE:zxc [25 Feb 2011 16:14:53 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 16:19:45 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 16:19:51 GMT]
sgaf cancled election initiation [25 Feb 2011 16:24:08 GMT]
HTC Dream cancled election initiation [25 Feb 2011 16:24:08 GMT]
HTC Dream cancled election initiation [25 Feb 2011 16:24:08 GMT]
HTC Dream cancled election initiation [25 Feb 2011 16:46:35 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 17:23:33 GMT]
HTC Dream cancled election initiation [25 Feb 2011 17:23:36 GMT]
HTC Dream cancled election initiation [25 Feb 2011 17:40:55 GMT]
09 cancled election initiation [25 Feb 2011 17:57:57 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 18:02:13 GMT]
HTC Dream cancled election initiation [25 Feb 2011 18:02:21 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 18:19:31 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 19:02:15 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 19:02:21 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 19:15:06 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 19:15:12 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 19:28:00 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 19:36:42 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 20:23:47 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 20:53:05 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 20:53:10 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 20:53:13 GMT]
09 cancled election initiation [25 Feb 2011 20:57:08 GMT]
HTC Dream cancled election initiation [25 Feb 2011 21:01:33 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 21:30:52 GMT]
HTC Dream cancled election initiation [25 Feb 2011 21:30:55 GMT]
HTC Dream cancled election initiation [25 Feb 2011 21:35:05 GMT]
HTC Dream cancled election initiation [25 Feb 2011 22:12:22 GMT]
HTC Dream cancled election initiation [25 Feb 2011 22:12:22 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 22:53:50 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 22:53:56 GMT]
HTC Dream cancled election initiation [25 Feb 2011 22:58:07 GMT]
HTC Dream cancled election initiation [25 Feb 2011 23:02:32 GMT]
HTC Dream cancled election initiation [25 Feb 2011 23:29:24 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 23:33:45 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 23:40:48 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 23:53:44 GMT]
Service discovery failed DEVICE:HTC Dream [26 Feb 2011 00:06:37 GMT]
