17:26:48, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, update
17:29:22, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, update
18:16:56, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, true, update
