17:27:37, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4206
UConnect Schedule  prime=7
17:29:07, 18:01:30, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4186
17:34:12, 18:06:35, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4103
17:34:43, 18:07:06, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4104
17:36:42, 18:09:05, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4096
17:38:12, 18:10:35, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4093
17:45:12, 18:17:34, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4071
17:45:42, 18:18:04, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4071
17:46:12, 18:18:34, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4067
17:47:42, 18:20:04, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4070
17:48:11, 18:20:34, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4059
18:23:39, 18:56:02, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4048
18:24:39, 18:57:02, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4044
18:41:38, 19:14:01, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4042
18:42:38, 19:15:01, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4034
19:06:37, 19:39:00, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4011
19:27:36, 19:59:58, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4007
19:28:06, 20:00:29, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4005
19:29:06, 20:01:28, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3994
19:33:35, 20:05:58, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3998
19:33:35, 20:05:58, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3998
19:43:05, 20:15:28, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3975
19:44:05, 20:16:27, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3979
20:02:34, 20:34:56, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3973
20:04:34, 20:36:57, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3951
20:05:04, 20:37:26, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3948
20:05:33, 20:37:56, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3927
20:07:33, 20:39:56, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3943
20:08:03, 20:40:26, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3938
20:08:33, 20:40:56, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3936
20:11:03, 20:43:26, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3932
20:11:33, 20:43:56, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3928
20:13:33, 20:45:56, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3909
20:16:33, 20:48:56, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3923
20:18:03, 20:50:26, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3918
20:35:02, 21:07:25, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3906
20:35:32, 21:07:55, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3901
20:37:32, 21:09:54, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3893
20:39:31, 21:11:54, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3888
20:40:01, 21:12:24, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3883
20:41:31, 21:13:54, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3886
20:47:01, 21:19:24, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3865
20:49:01, 21:21:24, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3859
21:13:30, 21:45:52, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3860
21:27:59, 22:00:21, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3850
21:32:58, 22:05:21, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3845
21:38:28, 22:10:51, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3817
21:38:58, 22:11:21, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3812
21:40:28, 22:12:51, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3804
21:40:58, 22:13:21, Battery: level = 52, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3809
21:41:28, 22:13:51, Battery: level = 51, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3805
21:42:58, 22:15:21, Battery: level = 50, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3802
