21:58:43, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:58:43, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:02:06, 00:23:D4:68:E1:E9, GARBAGE, true
22:07:21, 00:23:D4:68:E1:E9, GARBAGE, true
22:23:40, 00:23:D4:68:E1:E9, GARBAGE, true
22:28:41, 00:23:D4:68:E1:E9, 192.168.1.10, true
22:28:41, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:30:05, 00:23:D4:68:E1:E9, 192.168.1.10, true
22:30:05, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:31:29, 00:23:D4:68:E1:E9, 192.168.1.10, true
22:31:29, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:32:10, 00:23:D4:68:E1:E9, 192.168.1.11, true
22:32:10, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:32:10, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:32:10, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:34:59, 00:23:D4:68:E1:E9, GARBAGE, true
22:39:24, 00:23:D4:68:E1:E9, GARBAGE, true
22:50:39, 00:23:D4:68:E1:E9, GARBAGE, true
22:55:48, 00:23:D4:68:E1:E9, 192.168.1.9, true
22:55:48, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:55:48, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:55:48, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:57:12, 00:23:D4:68:E1:E9, 192.168.1.9, true
22:57:12, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:57:12, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:57:12, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:01:54, 00:23:D4:68:E1:E9, GARBAGE, true
23:33:37, 00:23:D4:68:E1:E9, GARBAGE, true
23:45:02, 00:23:D4:68:E1:E9, GARBAGE, true
23:54:48, 00:23:D4:68:E1:E9, 192.168.1.2, true
23:54:48, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:56:21, 00:23:D4:68:E1:E9, GARBAGE, true
00:06:07, 00:23:D4:68:E1:E9, 192.168.1.2, true
