21:31:25, 00:23:D4:6A:BF:DE, GARBAGE, true
21:45:43, 00:23:D4:6A:BF:DE, 192.168.1.4, true
21:45:43, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:54:51, 00:23:D4:6A:BF:DE, GARBAGE, true
22:04:53, 00:23:D4:6A:BF:DE, GARBAGE, true
22:16:19, 00:23:D4:6A:BF:DE, GARBAGE, true
22:22:24, 00:23:D4:6A:BF:DE, GARBAGE, true
22:34:33, 00:23:D4:6A:BF:DE, 192.168.1.4, true
22:34:33, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:34:34, 00:23:D4:6A:BF:DE, 192.168.1.2, true
22:34:34, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:34:34, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:34:34, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:34:34, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:38:02, 00:23:D4:6A:BF:DE, 192.168.1.5, true
22:38:02, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:41:45, 00:23:D4:6A:BF:DE, GARBAGE, true
22:49:29, 00:23:D4:6A:BF:DE, GARBAGE, true
23:04:23, 00:23:D4:6A:BF:DE, GARBAGE, true
23:14:04, 00:23:D4:6A:BF:DE, GARBAGE, true
