22:05:59, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:05:59, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:05:59, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:06:40, 00:23:D4:6A:BB:92, GARBAGE, true
22:23:05, 00:23:D4:6A:BB:92, GARBAGE, true
22:28:55, 00:23:D4:6A:BB:92, GARBAGE, true
22:41:07, 00:23:D4:6A:BB:92, 192.168.1.1, true
22:41:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:41:47, 00:23:D4:6A:BB:92, 192.168.1.5, true
22:41:47, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:41:47, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:42:29, 00:23:D4:6A:BB:92, 192.168.1.5, true
22:42:29, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:42:29, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:43:11, 00:23:D4:6A:BB:92, 192.168.1.5, true
22:43:11, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:43:11, 00:23:D4:6A:BB:92, GARBAGE IP, true
23:18:54, 00:23:D4:6A:BB:92, 192.168.1.2, true
23:18:54, 00:23:D4:6A:BB:92, GARBAGE IP, true
23:18:54, 00:23:D4:6A:BB:92, GARBAGE IP, true
23:18:54, 00:23:D4:6A:BB:92, GARBAGE IP, true
23:18:54, 00:23:D4:6A:BB:92, GARBAGE IP, true
23:32:55, 00:23:D4:6A:BB:92, GARBAGE, true
23:44:20, 00:23:D4:6A:BB:92, GARBAGE, true
23:55:40, 00:23:D4:6A:BB:92, GARBAGE, true
23:58:45, 00:23:D4:6A:BB:92, 192.168.1.2, true
23:58:45, 00:23:D4:6A:BB:92, GARBAGE IP, true
23:58:45, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:11:52, 00:23:D4:6A:BB:92, GARBAGE, true
00:17:21, 00:23:D4:6A:BB:92, GARBAGE, true
00:28:39, 00:23:D4:6A:BB:92, GARBAGE, true
