23:34:52, 00:23:D4:6A:F5:43, GARBAGE, true
23:44:33, 00:23:D4:6A:F5:43, 192.168.1.5, true
23:44:33, 00:23:D4:6A:F5:43, GARBAGE IP, true
23:44:33, 00:23:D4:6A:F5:43, GARBAGE IP, true
23:44:46, 00:23:D4:6A:F5:43, GARBAGE, true
23:55:51, 00:23:D4:6A:F5:43, 192.168.1.2, true
23:55:51, 00:23:D4:6A:F5:43, GARBAGE IP, true
23:56:00, 00:23:D4:6A:F5:43, GARBAGE, true
00:07:10, 00:23:D4:6A:F5:43, 192.168.1.2, true
00:10:32, 00:23:D4:6A:F5:43, GARBAGE, true
00:13:28, 00:23:D4:6A:F5:43, 192.168.1.6, true
00:13:28, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:13:28, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:13:28, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:13:35, 00:23:D4:6A:F5:43, GARBAGE, true
00:14:32, 00:23:D4:6A:F5:43, GARBAGE, true
00:28:07, 00:23:D4:6A:F5:43, 192.168.1.5, true
00:28:07, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:28:07, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:29:02, 00:23:D4:6A:F5:43, GARBAGE, true
00:29:28, 00:23:D4:6A:F5:43, 192.168.1.12, true
00:29:28, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:29:28, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:29:28, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:29:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:35:10, 00:23:D4:6A:F5:43, GARBAGE, true
00:49:43, 00:23:D4:6A:F5:43, GARBAGE, true
00:50:56, 00:23:D4:6A:F5:43, 192.168.1.5, true
00:50:56, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:50:56, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:51:38, 00:23:D4:6A:F5:43, 192.168.1.5, true
00:51:38, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:52:16, 00:23:D4:6A:F5:43, GARBAGE, true
00:52:20, 00:23:D4:6A:F5:43, 192.168.1.5, true
00:52:20, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:56:17, 00:23:D4:6A:F5:43, GARBAGE, true
01:07:49, 00:23:D4:6A:F5:43, GARBAGE, true
01:12:04, 00:23:D4:6A:F5:43, 192.168.1.2, true
01:12:04, 00:23:D4:6A:F5:43, GARBAGE IP, true
01:12:04, 00:23:D4:6A:F5:43, GARBAGE IP, true
01:12:47, 00:23:D4:6A:F5:43, GARBAGE, true
01:25:13, 00:23:D4:6A:F5:43, 192.168.1.12, true
01:25:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
01:25:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
01:25:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
01:46:28, 00:23:D4:6A:F5:43, GARBAGE, true
02:00:53, 00:23:D4:6A:F5:43, GARBAGE, true
02:01:24, 00:23:D4:6A:F5:43, 192.168.1.5, true
02:01:24, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:01:24, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:02:15, 00:23:D4:6A:F5:43, GARBAGE, true
02:11:14, 00:23:D4:6A:F5:43, 192.168.1.5, true
02:11:14, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:11:14, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:11:14, 00:23:D4:6A:F5:43, 192.168.1.2, true
02:11:14, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:11:54, 00:23:D4:6A:F5:43, 192.168.1.12, true
02:11:54, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:11:54, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:11:54, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:12:10, 00:23:D4:6A:F5:43, GARBAGE, true
02:14:03, 00:23:D4:6A:F5:43, 192.168.1.6, true
02:14:03, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:23:29, 00:23:D4:6A:F5:43, GARBAGE, true
02:25:55, 00:23:D4:6A:F5:43, GARBAGE, true
02:28:28, 00:23:D4:6A:F5:43, GARBAGE, true
02:30:05, 00:23:D4:6A:F5:43, 192.168.1.12, true
02:30:05, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:30:05, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:30:05, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:30:07, 00:23:D4:6A:F5:43, 192.168.1.4, true
02:30:07, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:30:50, 00:23:D4:6A:F5:43, 192.168.1.4, true
02:30:50, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:31:29, 00:23:D4:6A:F5:43, 192.168.1.12, true
02:31:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:31:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:31:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:32:11, 00:23:D4:6A:F5:43, 192.168.1.12, true
02:32:11, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:32:11, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:32:11, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:32:14, 00:23:D4:6A:F5:43, 192.168.1.4, true
02:32:14, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:32:53, 00:23:D4:6A:F5:43, 192.168.1.12, true
02:32:53, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:32:53, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:32:53, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:32:56, 00:23:D4:6A:F5:43, 192.168.1.4, true
02:32:56, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:33:38, 00:23:D4:6A:F5:43, 192.168.1.4, true
02:33:38, 00:23:D4:6A:F5:43, GARBAGE IP, true
02:33:51, 00:23:D4:6A:F5:43, GARBAGE, true
02:34:50, 00:23:D4:6A:F5:43, GARBAGE, true
02:40:23, 00:23:D4:6A:F5:43, GARBAGE, true
02:49:47, 00:23:D4:6A:F5:43, GARBAGE, true
02:58:58, 00:23:D4:6A:F5:43, GARBAGE, true
03:06:48, 00:23:D4:6A:F5:43, GARBAGE, true
03:15:58, 00:23:D4:6A:F5:43, GARBAGE, true
03:25:08, 00:23:D4:6A:F5:43, GARBAGE, true
