22:41:49, 00:23:D4:6A:A4:E2, GARBAGE, true
22:44:13, 00:23:D4:6A:A4:E2, 192.168.1.4, true
22:44:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
22:46:22, 00:23:D4:6A:A4:E2, GARBAGE, false
22:51:10, 00:23:D4:6A:A4:E2, 192.168.1.6, true
22:51:10, 00:23:D4:6A:A4:E2, GARBAGE IP, true
22:51:10, 00:23:D4:6A:A4:E2, GARBAGE IP, true
22:51:10, 00:23:D4:6A:A4:E2, GARBAGE IP, true
22:51:40, 00:23:D4:6A:A4:E2, GARBAGE, true
22:53:04, 00:23:D4:6A:A4:E2, GARBAGE, true
22:54:12, 00:23:D4:6A:A4:E2, GARBAGE, true
22:57:38, 00:23:D4:6A:A4:E2, GARBAGE, false
23:02:32, 00:23:D4:6A:A4:E2, GARBAGE, false
23:04:03, 00:23:D4:6A:A4:E2, GARBAGE, true
23:04:20, 00:23:D4:6A:A4:E2, GARBAGE, true
23:06:34, 00:23:D4:6A:A4:E2, GARBAGE, true
23:09:05, 00:23:D4:6A:A4:E2, GARBAGE, true
23:15:26, 00:23:D4:6A:A4:E2, 192.168.1.3, true
23:15:27, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:15:27, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:15:32, 00:23:D4:6A:A4:E2, GARBAGE, true
23:15:39, 00:23:D4:6A:A4:E2, GARBAGE, true
23:18:56, 00:23:D4:6A:A4:E2, GARBAGE, true
23:20:03, 00:23:D4:6A:A4:E2, GARBAGE, true
23:20:26, 00:23:D4:6A:A4:E2, GARBAGE, true
23:28:20, 00:23:D4:6A:A4:E2, 192.168.1.9, true
23:28:20, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:28:20, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:28:20, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:28:20, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:28:50, 00:23:D4:6A:A4:E2, GARBAGE, true
23:28:54, 00:23:D4:6A:A4:E2, GARBAGE, true
23:31:25, 00:23:D4:6A:A4:E2, GARBAGE, true
23:31:39, 00:23:D4:6A:A4:E2, GARBAGE, true
23:35:58, 00:23:D4:6A:A4:E2, GARBAGE, true
23:36:07, 00:23:D4:6A:A4:E2, GARBAGE, true
23:42:55, 00:23:D4:6A:A4:E2, 192.168.1.6, true
23:42:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:42:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:42:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:42:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:43:48, 00:23:D4:6A:A4:E2, 192.168.1.11, true
23:43:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:43:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:43:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:45:59, 00:23:D4:6A:A4:E2, GARBAGE, true
23:47:22, 00:23:D4:6A:A4:E2, GARBAGE, true
23:57:09, 00:23:D4:6A:A4:E2, 192.168.1.3, true
23:57:10, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:57:10, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:57:10, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:57:16, 00:23:D4:6A:A4:E2, GARBAGE, true
23:58:41, 00:23:D4:6A:A4:E2, GARBAGE, true
00:08:29, 00:23:D4:6A:A4:E2, 192.168.1.3, true
00:08:29, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:08:29, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:08:31, 00:23:D4:6A:A4:E2, 192.168.1.5, true
00:08:31, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:08:31, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:09:16, 00:23:D4:6A:A4:E2, 192.168.1.12, true
00:09:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:09:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:09:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:09:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:10:00, 00:23:D4:6A:A4:E2, GARBAGE, true
00:14:53, 00:23:D4:6A:A4:E2, GARBAGE, true
