04:04:58, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:05:11, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:05:11, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:05:39, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:05:39, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:05:40, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:05:40, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:06:02, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:06:02, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:06:54, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:06:54, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:07:43, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:07:43, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:07:44, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:07:44, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:08:23, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:08:23, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:08:37, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:08:37, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:09:27, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:09:27, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:10:18, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:10:18, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:10:37, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:11:40, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:11:40, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:12:30, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:12:30, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:13:47, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:13:47, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:15:00, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:15:00, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:15:43, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:15:43, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:16:20, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:16:20, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:16:24, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:16:24, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:17:10, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:17:10, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:17:11, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:17:11, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:17:32, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:17:32, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:18:03, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:18:03, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:18:23, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:18:23, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:18:24, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:18:24, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:18:53, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:18:53, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:19:21, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:19:21, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:22:03, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:22:03, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:22:06, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:22:06, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:23:02, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:23:02, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:23:09, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:23:09, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:23:10, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:23:11, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:24:56, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:24:56, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:24:56, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:24:56, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:25:01, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:25:01, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:25:43, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:25:43, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:25:54, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:25:54, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:25:54, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:25:54, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:27:00, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:27:00, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:28:17, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:28:17, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:28:37, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:28:38, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:28:42, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:28:42, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:29:13, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:29:13, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:29:29, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:29:29, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:30:31, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:30:31, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:30:33, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:30:33, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:31:02, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:31:02, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:31:04, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:31:04, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:31:05, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:31:05, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:31:06, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:31:06, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:32:38, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:32:38, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:33:28, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:33:28, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:35:10, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:35:10, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:35:12, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:35:12, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:35:52, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:35:52, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:36:10, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:36:10, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:36:57, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:36:57, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:37:35, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:37:35, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:38:06, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:38:06, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:38:43, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:38:43, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:38:45, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:38:45, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:40:04, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:40:04, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:40:05, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:40:05, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:40:31, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:40:31, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:40:33, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:40:33, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:41:13, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:41:13, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:41:51, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:41:51, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:41:51, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:41:51, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:41:54, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:41:54, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:42:03, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:42:03, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:42:40, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:42:40, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:43:47, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:43:47, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:44:10, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:44:10, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:44:12, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:44:12, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:44:14, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:44:14, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:44:46, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:44:46, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:44:49, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:44:49, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:44:51, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:44:51, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:45:55, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:45:55, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:46:51, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:46:51, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:47:10, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:47:10, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:48:02, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:48:02, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:48:16, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:48:16, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:48:57, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:48:57, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:49:33, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:49:33, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:49:34, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:49:34, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:51:36, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:51:36, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:52:29, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:52:29, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:52:33, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:52:33, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:53:13, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:53:13, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:54:48, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:54:48, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:55:18, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:55:18, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:56:34, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:56:34, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:56:50, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:56:50, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:56:52, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:56:52, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:58:06, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:58:06, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:58:53, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:58:53, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:59:10, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:59:10, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
05:00:01, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
05:00:01, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
05:00:17, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
05:00:17, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
05:01:14, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
05:01:14, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
05:01:44, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
05:01:44, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
05:02:20, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
05:02:20, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
05:02:21, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
05:02:21, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
05:02:35, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
05:02:35, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
