04:36:15, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:36:15, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:36:19, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:36:19, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:37:22, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:37:22, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:41:54, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:41:54, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:41:54, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, true, update
04:41:55, 00:23:D4:6A:A4:E2, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
