13:31:48, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:32:19, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:32:19, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:32:21, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
13:32:21, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
13:32:23, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:32:23, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:32:23, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:32:23, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:32:38, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
13:32:38, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
13:34:09, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:34:09, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:39:14, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:39:14, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:41:07, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:41:07, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:41:42, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:41:42, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:42:02, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:42:02, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:42:03, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:42:03, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:47:11, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
13:47:11, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
13:47:39, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:47:39, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:47:57, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:47:57, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:48:49, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:48:49, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:48:52, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:48:52, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:49:40, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:49:40, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:50:19, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:50:19, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:50:35, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:50:35, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:50:36, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:50:36, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
