13:15:13, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:15:13, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:15:39, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:15:40, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:16:20, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:16:20, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:16:31, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:16:31, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:16:46, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:16:46, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:17:47, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:17:48, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:17:48, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:17:48, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:17:49, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:17:49, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:18:14, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:18:14, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:18:15, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:18:15, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:19:29, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:19:29, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:20:27, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
13:20:27, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
13:20:47, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:20:47, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:20:50, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
13:20:50, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
13:22:30, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:22:30, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:23:23, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
13:23:23, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
13:24:00, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:24:00, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:24:14, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
13:24:14, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
13:24:15, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
13:24:15, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
13:24:16, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:24:16, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:25:25, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:25:25, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:26:50, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
13:26:50, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
13:27:07, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:27:07, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:27:39, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:27:39, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:27:44, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:27:44, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:28:32, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
13:28:32, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
13:29:22, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:29:22, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:29:23, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
13:29:23, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
13:29:43, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:29:43, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:30:37, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
13:30:37, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
