03:15:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:15:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:15:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:19:57, 00:23:D4:6A:B6:B9, GARBAGE, true
03:29:37, 00:23:D4:6A:B6:B9, 192.168.1.9, true
03:29:37, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:40:38, 00:23:D4:6A:B6:B9, 192.168.1.3, true
03:40:38, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:41:24, 00:23:D4:6A:B6:B9, 192.168.1.2, true
03:41:24, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:41:24, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:41:27, 00:23:D4:6A:B6:B9, 192.168.1.5, true
03:41:27, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:42:10, 00:23:D4:6A:B6:B9, 192.168.1.5, true
03:42:10, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:42:10, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:42:49, 00:23:D4:6A:B6:B9, GARBAGE, true
03:47:25, 00:23:D4:6A:B6:B9, GARBAGE, true
03:50:33, 00:23:D4:6A:B6:B9, 192.168.1.10, true
03:50:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:50:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:51:15, 00:23:D4:6A:B6:B9, 192.168.1.10, true
03:51:15, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:51:15, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:52:45, 00:23:D4:6A:B6:B9, 192.168.1.3, true
03:52:45, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:56:49, 00:23:D4:6A:B6:B9, GARBAGE, true
04:01:29, 00:23:D4:6A:B6:B9, GARBAGE, true
04:04:25, 00:23:D4:6A:B6:B9, 192.168.1.5, true
04:05:08, 00:23:D4:6A:B6:B9, 192.168.1.5, true
04:10:39, 00:23:D4:6A:B6:B9, GARBAGE, true
04:15:21, 00:23:D4:6A:B6:B9, GARBAGE, true
04:19:41, 00:23:D4:6A:B6:B9, 192.168.1.5, true
04:24:25, 00:23:D4:6A:B6:B9, GARBAGE, true
04:28:46, 00:23:D4:6A:B6:B9, 192.168.1.4, true
04:28:46, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:28:46, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:28:47, 00:23:D4:6A:B6:B9, 192.168.1.5, true
04:28:47, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:29:28, 00:23:D4:6A:B6:B9, 192.168.1.11, true
04:29:28, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:29:29, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:29:32, 00:23:D4:6A:B6:B9, 192.168.1.4, true
04:29:32, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:29:32, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:30:10, 00:23:D4:6A:B6:B9, 192.168.1.11, true
04:30:10, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:30:10, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:33:44, 00:23:D4:6A:B6:B9, GARBAGE, true
04:38:47, 00:23:D4:6A:B6:B9, 192.168.1.6, true
04:38:47, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:38:47, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:38:47, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:39:33, 00:23:D4:6A:B6:B9, 192.168.1.6, true
04:39:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:39:34, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:39:34, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:40:18, 00:23:D4:6A:B6:B9, GARBAGE, true
04:44:51, 00:23:D4:6A:B6:B9, GARBAGE, true
04:50:29, 00:23:D4:6A:B6:B9, 192.168.1.2, true
04:50:29, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:50:29, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:52:45, 00:23:D4:6A:B6:B9, 192.168.1.2, true
04:52:45, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:53:29, 00:23:D4:6A:B6:B9, 192.168.1.11, true
04:53:29, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:53:29, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:53:30, 00:23:D4:6A:B6:B9, 192.168.1.2, true
04:53:30, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:55:16, 00:23:D4:6A:B6:B9, 192.168.1.9, true
04:55:16, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:55:16, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:55:17, 00:23:D4:6A:B6:B9, 192.168.1.5, true
04:56:07, 00:23:D4:6A:B6:B9, GARBAGE, true
04:56:48, 00:23:D4:6A:B6:B9, 192.168.1.6, true
04:56:48, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:56:48, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:56:48, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:57:31, 00:23:D4:6A:B6:B9, 192.168.1.6, true
04:57:31, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:57:31, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:57:31, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:59:03, 00:23:D4:6A:B6:B9, 192.168.1.12, true
04:59:03, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:05:12, 00:23:D4:6A:B6:B9, GARBAGE, true
05:14:23, 00:23:D4:6A:B6:B9, GARBAGE, true
05:19:38, 00:23:D4:6A:B6:B9, GARBAGE, true
05:24:54, 00:23:D4:6A:B6:B9, GARBAGE, true
05:26:47, 00:23:D4:6A:B6:B9, 192.168.1.5, true
05:29:48, 00:23:D4:6A:B6:B9, 192.168.1.4, true
05:29:48, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:29:48, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:36:06, 00:23:D4:6A:B6:B9, GARBAGE, true
05:38:24, 00:23:D4:6A:B6:B9, 192.168.1.5, true
05:38:24, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:45:31, 00:23:D4:6A:B6:B9, GARBAGE, true
05:51:21, 00:23:D4:6A:B6:B9, 192.168.1.3, true
05:51:21, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:51:21, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:51:22, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:54:43, 00:23:D4:6A:B6:B9, GARBAGE, true
05:59:17, 00:23:D4:6A:B6:B9, GARBAGE, true
06:08:36, 00:23:D4:6A:B6:B9, GARBAGE, true
06:13:35, 00:23:D4:6A:B6:B9, 192.168.1.12, true
06:13:35, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:13:35, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:14:18, 00:23:D4:6A:B6:B9, 192.168.1.12, true
06:14:18, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:14:18, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:15:08, 00:23:D4:6A:B6:B9, GARBAGE, true
06:22:16, 00:23:D4:6A:B6:B9, GARBAGE, true
06:25:59, 00:23:D4:6A:B6:B9, 192.168.1.2, true
06:25:59, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:25:59, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:31:53, 00:23:D4:6A:B6:B9, 192.168.1.5, true
06:36:41, 00:23:D4:6A:B6:B9, GARBAGE, true
06:41:48, 00:23:D4:6A:B6:B9, 192.168.1.6, true
06:41:48, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:45:54, 00:23:D4:6A:B6:B9, GARBAGE, true
06:55:00, 00:23:D4:6A:B6:B9, GARBAGE, true
07:06:47, 00:23:D4:6A:B6:B9, 192.168.1.6, true
07:06:47, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:07:26, 00:23:D4:6A:B6:B9, 192.168.1.5, true
07:10:59, 00:23:D4:6A:B6:B9, GARBAGE, true
07:13:10, 00:23:D4:6A:B6:B9, 192.168.1.7, true
07:13:10, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:13:52, 00:23:D4:6A:B6:B9, 192.168.1.7, true
07:13:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:14:36, 00:23:D4:6A:B6:B9, 192.168.1.11, true
07:14:36, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:15:18, 00:23:D4:6A:B6:B9, 192.168.1.11, true
07:15:18, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:16:00, 00:23:D4:6A:B6:B9, 192.168.1.11, true
07:16:00, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:17:44, 00:23:D4:6A:B6:B9, GARBAGE, true
07:23:34, 00:23:D4:6A:B6:B9, 192.168.1.4, true
07:23:34, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:23:34, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:24:40, 00:23:D4:6A:B6:B9, GARBAGE, true
07:31:28, 00:23:D4:6A:B6:B9, GARBAGE, true
07:36:05, 00:23:D4:6A:B6:B9, GARBAGE, true
07:40:39, 00:23:D4:6A:B6:B9, GARBAGE, true
07:50:03, 00:23:D4:6A:B6:B9, GARBAGE, true
07:54:44, 00:23:D4:6A:B6:B9, GARBAGE, true
07:58:22, 00:23:D4:6A:B6:B9, 192.168.1.10, true
07:58:22, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:58:22, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:59:01, 00:23:D4:6A:B6:B9, 192.168.1.4, true
07:59:01, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:59:01, 00:23:D4:6A:B6:B9, GARBAGE IP, true
08:03:49, 00:23:D4:6A:B6:B9, GARBAGE, true
