23:45:54, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4130
UConnect Schedule  prime=7
23:45:58, 18:00:04, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4099
00:04:44, 18:18:49, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4110
00:08:14, 18:22:19, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4109
00:13:13, 18:27:19, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4101
00:35:42, 18:49:48, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4091
00:48:41, 19:02:47, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4072
00:52:11, 19:06:17, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4073
01:05:10, 19:19:16, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4072
01:16:10, 19:30:15, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4066
01:19:39, 19:33:45, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4063
01:34:09, 19:48:14, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4044
01:35:39, 19:49:44, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4047
01:52:38, 20:06:43, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4035
01:54:37, 20:08:43, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4039
02:27:05, 20:41:11, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4021
02:30:35, 20:44:41, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4020
02:39:05, 20:53:10, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4015
02:52:04, 21:06:10, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4004
02:54:04, 21:08:10, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3996
03:21:32, 21:35:38, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3982
03:28:02, 21:42:07, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3988
03:36:32, 21:50:37, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3977
03:38:31, 21:52:37, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3977
03:45:01, 21:59:07, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3971
03:48:31, 22:02:36, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3963
03:59:00, 22:13:06, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3959
04:33:58, 22:48:04, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3948
04:35:58, 22:50:04, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3952
04:42:28, 22:56:33, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3948
04:42:58, 22:57:03, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3934
04:44:27, 22:58:33, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3930
04:45:57, 23:00:03, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3940
05:13:56, 23:28:01, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3919
05:15:26, 23:29:31, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3901
05:16:56, 23:31:01, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3896
05:18:25, 23:32:31, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3892
05:19:55, 23:34:01, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3883
05:21:25, 23:35:31, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3881
05:22:55, 23:37:01, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3878
05:32:55, 23:47:00, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3859
05:34:25, 23:48:30, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3856
05:35:54, 23:50:00, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3853
05:42:54, 23:57:00, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3837
05:44:24, 23:58:30, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3834
06:10:52, 00:24:58, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3840
06:46:50, 01:00:56, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3826
06:59:50, 01:13:55, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3830
07:01:19, 01:15:25, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3825
07:06:19, 01:20:25, Battery: level = 52, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3816
07:20:18, 01:34:24, Battery: level = 51, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3812
07:27:18, 01:41:23, Battery: level = 50, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3805
07:34:18, 01:48:23, Battery: level = 49, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3788
07:35:47, 01:49:53, Battery: level = 48, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3791
07:37:47, 01:51:53, Battery: level = 47, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3785
07:55:46, 02:09:52, Battery: level = 46, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3778
08:06:46, 02:20:51, Battery: level = 45, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3814
08:08:46, 02:22:51, Battery: level = 44, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3775
08:14:07, 02:28:13, Battery: level = 44, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3824
08:14:08, 02:28:14, Battery: level = 44, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3875
