02:55:11, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:55:14, 00:23:D4:6A:87:DE, 192.168.1.11, true
02:55:14, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:59:17, 00:23:D4:6A:87:DE, GARBAGE, true
03:03:54, 00:23:D4:6A:87:DE, GARBAGE, true
03:09:43, 00:23:D4:6A:87:DE, 192.168.1.12, false
03:09:43, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:09:43, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:13:05, 00:23:D4:6A:87:DE, GARBAGE, true
03:17:45, 00:23:D4:6A:87:DE, GARBAGE, true
03:20:40, 00:23:D4:6A:87:DE, 192.168.1.1, true
03:20:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:20:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:20:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:20:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:21:22, 00:23:D4:6A:87:DE, 192.168.1.1, true
03:21:22, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:21:23, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:21:23, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:21:23, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:22:46, 00:23:D4:6A:87:DE, 192.168.1.1, true
03:22:46, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:22:46, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:23:27, 00:23:D4:6A:87:DE, 192.168.1.2, true
03:23:27, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:23:27, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:26:51, 00:23:D4:6A:87:DE, GARBAGE, true
03:31:29, 00:23:D4:6A:87:DE, GARBAGE, true
03:35:11, 00:23:D4:6A:87:DE, 192.168.1.9, true
03:35:11, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:35:53, 00:23:D4:6A:87:DE, 192.168.1.9, true
03:35:53, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:36:35, 00:23:D4:6A:87:DE, 192.168.1.9, true
03:36:35, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:37:17, 00:23:D4:6A:87:DE, 192.168.1.9, true
03:37:17, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:40:43, 00:23:D4:6A:87:DE, GARBAGE, true
03:49:54, 00:23:D4:6A:87:DE, GARBAGE, true
03:54:31, 00:23:D4:6A:87:DE, GARBAGE, true
03:56:48, 00:23:D4:6A:87:DE, 192.168.1.7, true
03:56:48, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:56:48, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:56:48, 00:23:D4:6A:87:DE, 192.168.1.5, true
03:56:48, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:56:48, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:57:30, 00:23:D4:6A:87:DE, 192.168.1.7, true
03:57:30, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:57:30, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:58:12, 00:23:D4:6A:87:DE, 192.168.1.7, true
03:58:12, 00:23:D4:6A:87:DE, GARBAGE IP, true
03:58:12, 00:23:D4:6A:87:DE, GARBAGE IP, true
04:00:17, 00:23:D4:6A:87:DE, 192.168.1.5, true
04:00:17, 00:23:D4:6A:87:DE, GARBAGE IP, true
04:03:43, 00:23:D4:6A:87:DE, GARBAGE, true
04:08:19, 00:23:D4:6A:87:DE, GARBAGE, true
04:17:35, 00:23:D4:6A:87:DE, GARBAGE, true
04:22:07, 00:23:D4:6A:87:DE, GARBAGE, true
04:28:00, 00:23:D4:6A:87:DE, 192.168.1.11, true
04:28:00, 00:23:D4:6A:87:DE, GARBAGE IP, true
04:28:00, 00:23:D4:6A:87:DE, GARBAGE IP, true
