04:02:08, 00:23:D4:6A:22:09, GARBAGE, true
04:11:28, 00:23:D4:6A:22:09, GARBAGE, true
04:16:22, 00:23:D4:6A:22:09, GARBAGE, true
04:19:28, 00:23:D4:6A:22:09, GARBAGE, true
04:23:54, 00:23:D4:6A:22:09, GARBAGE, true
04:29:49, 00:23:D4:6A:22:09, GARBAGE, true
04:31:07, 00:23:D4:6A:22:09, GARBAGE, true
04:33:02, 00:23:D4:6A:22:09, GARBAGE, true
04:35:59, 00:23:D4:6A:22:09, GARBAGE, true
04:42:26, 00:23:D4:6A:22:09, GARBAGE, true
04:49:42, 00:23:D4:6A:22:09, GARBAGE, true
04:54:29, 00:23:D4:6A:22:09, GARBAGE, true
04:56:49, 00:23:D4:6A:22:09, GARBAGE, true
05:01:10, 00:23:D4:6A:22:09, GARBAGE, true
05:08:51, 00:23:D4:6A:22:09, GARBAGE, true
05:11:48, 00:23:D4:6A:22:09, GARBAGE, true
05:16:04, 00:23:D4:6A:22:09, GARBAGE, true
05:28:49, 00:23:D4:6A:22:09, GARBAGE, true
05:31:21, 00:23:D4:6A:22:09, GARBAGE, true
05:41:19, 00:23:D4:6A:22:09, GARBAGE, true
05:50:31, 00:23:D4:6A:22:09, GARBAGE, true
05:53:11, 00:23:D4:6A:22:09, GARBAGE, true
05:56:09, 00:23:D4:6A:22:09, GARBAGE, true
06:00:30, 00:23:D4:6A:22:09, GARBAGE, true
06:07:59, 00:23:D4:6A:22:09, GARBAGE, true
06:12:39, 00:23:D4:6A:22:09, GARBAGE, true
06:17:27, 00:23:D4:6A:22:09, GARBAGE, true
06:18:10, 00:23:D4:6A:22:09, GARBAGE, true
06:18:24, 00:23:D4:6A:22:09, GARBAGE, true
06:19:49, 00:23:D4:6A:22:09, 192.168.1.8, true
06:19:49, 00:23:D4:6A:22:09, GARBAGE IP, true
06:19:49, 00:23:D4:6A:22:09, GARBAGE IP, true
06:19:49, 00:23:D4:6A:22:09, GARBAGE IP, true
06:19:49, 00:23:D4:6A:22:09, GARBAGE IP, true
06:19:50, 00:23:D4:6A:22:09, GARBAGE IP, true
06:19:50, 00:23:D4:6A:22:09, GARBAGE IP, true
06:19:50, 00:23:D4:6A:22:09, GARBAGE IP, true
06:27:40, 00:23:D4:6A:22:09, GARBAGE, true
06:30:01, 00:23:D4:6A:22:09, GARBAGE, true
06:31:07, 00:23:D4:6A:22:09, GARBAGE, true
06:33:49, 00:23:D4:6A:22:09, GARBAGE, true
06:41:59, 00:23:D4:6A:22:09, GARBAGE, true
06:53:33, 00:23:D4:6A:22:09, GARBAGE, true
06:53:38, 00:23:D4:6A:22:09, GARBAGE, true
06:56:31, 00:23:D4:6A:22:09, 192.168.1.12, true
06:56:31, 00:23:D4:6A:22:09, GARBAGE IP, true
06:56:31, 00:23:D4:6A:22:09, GARBAGE IP, true
06:56:31, 00:23:D4:6A:22:09, GARBAGE IP, true
06:56:31, 00:23:D4:6A:22:09, GARBAGE IP, true
06:56:31, 00:23:D4:6A:22:09, GARBAGE IP, true
06:56:31, 00:23:D4:6A:22:09, GARBAGE IP, true
06:58:00, 00:23:D4:6A:22:09, GARBAGE, true
07:01:15, 00:23:D4:6A:22:09, GARBAGE, true
07:09:47, 00:23:D4:6A:22:09, GARBAGE, true
07:17:34, 00:23:D4:6A:22:09, GARBAGE, true
07:19:06, 00:23:D4:6A:22:09, GARBAGE, true
07:20:31, 00:23:D4:6A:22:09, GARBAGE, true
07:31:17, 00:23:D4:6A:22:09, 192.168.1.10, true
07:31:17, 00:23:D4:6A:22:09, GARBAGE IP, true
07:31:18, 00:23:D4:6A:22:09, GARBAGE IP, true
07:31:18, 00:23:D4:6A:22:09, GARBAGE IP, true
07:31:18, 00:23:D4:6A:22:09, GARBAGE IP, true
07:31:18, 00:23:D4:6A:22:09, GARBAGE IP, true
07:31:18, 00:23:D4:6A:22:09, GARBAGE IP, true
07:31:18, 00:23:D4:6A:22:09, GARBAGE IP, true
07:37:34, 00:23:D4:6A:22:09, GARBAGE, true
07:42:13, 00:23:D4:6A:22:09, GARBAGE, true
07:49:51, 00:23:D4:6A:22:09, GARBAGE, true
07:52:53, 00:23:D4:6A:22:09, 192.168.1.6, true
07:52:53, 00:23:D4:6A:22:09, GARBAGE IP, true
07:52:53, 00:23:D4:6A:22:09, GARBAGE IP, true
07:56:47, 00:23:D4:6A:22:09, GARBAGE, true
08:01:14, 00:23:D4:6A:22:09, GARBAGE, true
08:05:52, 00:23:D4:6A:22:09, GARBAGE, true
08:08:57, 00:23:D4:6A:22:09, GARBAGE, true
08:13:32, 00:23:D4:6A:22:09, GARBAGE, true
08:18:09, 00:23:D4:6A:22:09, GARBAGE, true
