02:34:10, 19:59:15, Battery: level = 34, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3749
02:35:10, 20:00:15, Battery: level = 33, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3747
02:36:40, 20:01:45, Battery: level = 32, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3745
02:38:10, 20:03:15, Battery: level = 31, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3744
02:41:40, 20:06:44, Battery: level = 30, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3739
02:42:10, 20:07:14, Battery: level = 29, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3736
02:44:09, 20:09:14, Battery: level = 28, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3731
02:47:39, 20:12:44, Battery: level = 27, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3729
02:58:39, 20:23:43, Battery: level = 26, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3707
02:59:00, 20:24:05, Battery: level = 26, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3740
02:59:39, 20:24:43, Battery: level = 27, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3876
03:00:38, 20:25:43, Battery: level = 28, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3895
03:01:38, 20:26:43, Battery: level = 29, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3938
03:02:38, 20:27:43, Battery: level = 30, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3909
03:03:39, 20:28:43, Battery: level = 31, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3941
03:04:38, 20:29:43, Battery: level = 32, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3950
03:05:38, 20:30:43, Battery: level = 33, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3956
03:07:08, 20:32:13, Battery: level = 34, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3970
03:07:38, 20:32:43, Battery: level = 35, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3961
03:08:38, 20:33:43, Battery: level = 36, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3973
03:10:08, 20:35:13, Battery: level = 37, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3980
03:11:08, 20:36:13, Battery: level = 38, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3976
03:12:08, 20:37:13, Battery: level = 39, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3994
03:13:08, 20:38:13, Battery: level = 40, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4006
03:14:08, 20:39:12, Battery: level = 41, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3942
