02:18:59, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:18:59, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:18:59, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:18:59, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:19:03, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:19:03, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
02:19:03, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:19:04, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:19:04, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:19:04, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:19:43, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:19:43, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:19:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:19:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:19:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:19:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:20:04, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:20:04, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:20:08, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
02:20:08, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:20:08, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:20:08, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:20:09, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:20:28, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:20:29, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:20:29, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:20:29, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:20:29, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:21:08, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:21:08, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:21:09, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:21:10, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:21:11, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
02:21:11, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
02:21:11, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
02:21:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:21:39, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:21:39, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:22:14, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:22:14, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:22:15, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:22:15, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
02:22:15, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:22:29, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:22:29, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:22:29, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:22:29, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:22:30, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:22:30, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:27:30, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:27:30, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:27:30, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:27:31, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:27:31, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
