sgaf cancled election initiation [25 Feb 2011 15:09:42 GMT]
zxc cancled election initiation [25 Feb 2011 15:09:42 GMT]
HTC Dream cancled election initiation [25 Feb 2011 15:09:42 GMT]
Device or resource busy DEVICE:HTC Dream [25 Feb 2011 15:18:20 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:18:36 GMT]
Service discovery failed DEVICE:qwerty [25 Feb 2011 15:32:50 GMT]
Connection timed out DEVICE:sgaf [25 Feb 2011 15:33:25 GMT]
Service discovery failed DEVICE:zxc [25 Feb 2011 15:33:28 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:33:33 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 16:00:43 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 16:00:53 GMT]
Service discovery failed DEVICE:asdf [25 Feb 2011 16:01:14 GMT]
sgaf cancled election initiation [25 Feb 2011 16:01:14 GMT]
Service discovery failed DEVICE:ty [25 Feb 2011 16:05:11 GMT]
Connection timed out DEVICE:sgaf [25 Feb 2011 16:05:44 GMT]
Device or resource busy DEVICE:HTC Dream [25 Feb 2011 16:05:53 GMT]
Service discovery failed DEVICE:qwerty [25 Feb 2011 16:06:05 GMT]
null cancled election initiation [25 Feb 2011 16:06:22 GMT]
ty failed election [25 Feb 2011 16:06:23 GMT]
null failed election [25 Feb 2011 16:06:23 GMT]
qwerty failed election [25 Feb 2011 16:06:23 GMT]
HTC Dream cancled election initiation [25 Feb 2011 16:45:15 GMT]
HTC Dream cancled election initiation [25 Feb 2011 17:16:23 GMT]
HTC Dream cancled election initiation [25 Feb 2011 17:39:30 GMT]
HTC Dream cancled election initiation [25 Feb 2011 18:00:53 GMT]
HTC Dream cancled election initiation [25 Feb 2011 18:00:53 GMT]
Device or resource busy DEVICE:09 [25 Feb 2011 18:27:53 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 19:40:54 GMT]
Connection timed out DEVICE:HTC Dream [25 Feb 2011 20:15:33 GMT]
