06:52:06, 18:00:00, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4147
UConnect Schedule  prime=7
08:02:03, 19:09:57, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4012
08:27:01, 19:34:55, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4005
08:28:31, 19:36:25, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3993
08:29:01, 19:36:55, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3999
09:02:29, 20:10:23, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3982
09:02:59, 20:10:53, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3973
09:03:29, 20:11:23, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3967
09:09:59, 20:17:53, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3969
09:14:29, 20:22:22, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3967
09:16:28, 20:24:22, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3955
09:18:28, 20:26:22, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3944
09:21:58, 20:29:52, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3949
09:28:58, 20:36:51, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3929
09:29:28, 20:37:21, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3920
09:31:58, 20:39:51, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3914
09:32:28, 20:40:21, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3915
09:32:57, 20:40:51, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3888
09:32:58, 20:40:51, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3888
09:33:27, 20:41:21, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3910
