Service discovery failed DEVICE:ty [4 Mar 2011 00:57:47 GMT]
Service discovery failed DEVICE:cnd45 [4 Mar 2011 03:37:51 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 06:06:58 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 06:14:04 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 07:18:32 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 07:43:32 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 08:29:21 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 09:28:54 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 10:35:30 GMT]
cnd45 cancled election initiation [4 Mar 2011 10:55:53 GMT]
ty cancled election initiation [4 Mar 2011 10:55:53 GMT]
ty cancled election initiation [4 Mar 2011 11:14:09 GMT]
Device or resource busy DEVICE:cnd45 [4 Mar 2011 11:19:23 GMT]
ty cancled election initiation [4 Mar 2011 11:19:24 GMT]
Device or resource busy DEVICE:cnd45 [4 Mar 2011 11:24:40 GMT]
ty cancled election initiation [4 Mar 2011 11:24:40 GMT]
Device or resource busy DEVICE:cnd45 [4 Mar 2011 11:45:17 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 12:10:21 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 12:17:31 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 12:24:08 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 12:59:25 GMT]
Connection reset by peer DEVICE:cnd45 [4 Mar 2011 13:08:31 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 13:19:52 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 13:26:43 GMT]
Service discovery failed DEVICE:ty [4 Mar 2011 14:08:17 GMT]
Service discovery failed DEVICE:cnd45 [4 Mar 2011 14:17:27 GMT]
ty cancled election initiation [4 Mar 2011 14:31:05 GMT]
Service discovery failed DEVICE:cnd45 [4 Mar 2011 14:54:55 GMT]
Service discovery failed DEVICE:cnd45 [4 Mar 2011 16:03:57 GMT]
Service discovery failed DEVICE:cnd45 [4 Mar 2011 17:06:01 GMT]
