08:13:37, 00:23:D4:6A:22:09, 192.168.1.12, true
08:13:37, 00:23:D4:6A:22:09, GARBAGE IP, true
08:13:37, 00:23:D4:6A:22:09, GARBAGE IP, true
08:13:37, 00:23:D4:6A:22:09, GARBAGE IP, true
08:13:37, 00:23:D4:6A:22:09, GARBAGE IP, true
08:14:19, 00:23:D4:6A:22:09, 192.168.1.12, true
08:14:19, 00:23:D4:6A:22:09, GARBAGE IP, true
08:14:19, 00:23:D4:6A:22:09, GARBAGE IP, true
08:14:19, 00:23:D4:6A:22:09, GARBAGE IP, true
08:14:19, 00:23:D4:6A:22:09, GARBAGE IP, true
08:15:52, 00:23:D4:6A:22:09, GARBAGE, true
08:18:48, 00:23:D4:6A:22:09, GARBAGE, true
08:23:29, 00:23:D4:6A:22:09, 192.168.1.10, true
08:23:29, 00:23:D4:6A:22:09, GARBAGE IP, true
08:23:29, 00:23:D4:6A:22:09, GARBAGE IP, true
08:23:29, 00:23:D4:6A:22:09, GARBAGE IP, true
08:24:10, 00:23:D4:6A:22:09, 192.168.1.3, true
08:24:10, 00:23:D4:6A:22:09, GARBAGE IP, true
08:24:10, 00:23:D4:6A:22:09, GARBAGE IP, true
08:24:12, 00:23:D4:6A:22:09, 192.168.1.10, true
08:24:12, 00:23:D4:6A:22:09, GARBAGE IP, true
08:24:12, 00:23:D4:6A:22:09, GARBAGE IP, true
08:24:12, 00:23:D4:6A:22:09, GARBAGE IP, true
08:24:52, 00:23:D4:6A:22:09, 192.168.1.3, true
08:24:52, 00:23:D4:6A:22:09, GARBAGE IP, true
08:24:52, 00:23:D4:6A:22:09, GARBAGE IP, true
08:24:57, 00:23:D4:6A:22:09, GARBAGE, true
08:25:34, 00:23:D4:6A:22:09, 192.168.1.3, true
08:25:34, 00:23:D4:6A:22:09, GARBAGE IP, true
08:25:34, 00:23:D4:6A:22:09, GARBAGE IP, true
08:27:35, 00:23:D4:6A:22:09, GARBAGE, true
08:30:44, 00:23:D4:6A:22:09, GARBAGE, true
08:33:14, 00:23:D4:6A:22:09, GARBAGE, true
08:35:51, 00:23:D4:6A:22:09, GARBAGE, true
08:40:39, 00:23:D4:6A:22:09, 192.168.1.4, true
08:40:39, 00:23:D4:6A:22:09, GARBAGE IP, true
08:40:39, 00:23:D4:6A:22:09, GARBAGE IP, true
08:41:21, 00:23:D4:6A:22:09, 192.168.1.4, true
08:41:21, 00:23:D4:6A:22:09, GARBAGE IP, true
08:41:21, 00:23:D4:6A:22:09, GARBAGE IP, true
08:42:03, 00:23:D4:6A:22:09, 192.168.1.4, true
08:42:03, 00:23:D4:6A:22:09, GARBAGE IP, true
08:42:03, 00:23:D4:6A:22:09, GARBAGE IP, true
08:42:12, 00:23:D4:6A:22:09, GARBAGE, true
08:45:06, 00:23:D4:6A:22:09, GARBAGE, true
08:47:49, 00:23:D4:6A:22:09, GARBAGE, true
08:50:45, 00:23:D4:6A:22:09, GARBAGE, true
08:55:24, 00:23:D4:6A:22:09, GARBAGE, true
08:56:32, 00:23:D4:6A:22:09, GARBAGE, true
