10:07:38, 21:10:15, Battery: level = 39, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3969
10:08:38, 21:11:15, Battery: level = 40, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4010
10:09:38, 21:12:15, Battery: level = 41, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3978
10:10:38, 21:13:15, Battery: level = 42, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4019
10:11:37, 21:14:15, Battery: level = 43, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4015
10:12:37, 21:15:15, Battery: level = 44, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4024
10:13:37, 21:16:15, Battery: level = 45, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4026
10:14:07, 21:16:45, Battery: level = 46, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4036
10:15:07, 21:17:45, Battery: level = 47, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4040
10:16:07, 21:18:45, Battery: level = 48, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4047
10:17:07, 21:19:45, Battery: level = 49, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4052
10:18:07, 21:20:45, Battery: level = 50, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4058
10:19:07, 21:21:45, Battery: level = 51, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4002
10:20:07, 21:22:45, Battery: level = 52, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4050
10:21:07, 21:23:45, Battery: level = 53, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4025
10:22:07, 21:24:45, Battery: level = 54, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4076
10:23:07, 21:25:44, Battery: level = 55, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4049
10:23:37, 21:26:14, Battery: level = 56, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4086
10:24:37, 21:27:14, Battery: level = 57, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4057
10:25:37, 21:28:14, Battery: level = 58, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4098
10:26:37, 21:29:14, Battery: level = 59, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4105
10:27:37, 21:30:14, Battery: level = 60, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4113
10:28:36, 21:31:14, Battery: level = 61, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4110
10:29:36, 21:32:14, Battery: level = 62, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4122
10:30:36, 21:33:14, Battery: level = 63, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4136
10:31:36, 21:34:14, Battery: level = 64, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4141
10:32:06, 21:34:44, Battery: level = 65, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4140
10:33:36, 21:36:14, Battery: level = 66, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4155
10:37:36, 21:40:14, Battery: level = 67, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4169
10:44:36, 21:47:13, Battery: level = 68, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4178
10:51:05, 21:53:43, Battery: level = 69, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4181
10:58:05, 22:00:42, Battery: level = 70, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4181
11:05:04, 22:07:42, Battery: level = 71, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4179
