10:31:20, 00:23:D4:69:79:1C, GARBAGE IP, true
10:31:21, 00:23:D4:69:79:1C, GARBAGE IP, true
10:31:21, 00:23:D4:69:79:1C, GARBAGE IP, true
10:31:21, 00:23:D4:69:79:1C, GARBAGE IP, true
10:31:21, 00:23:D4:69:79:1C, GARBAGE IP, true
10:31:23, 00:23:D4:69:79:1C, 192.168.1.5, true
10:31:23, 00:23:D4:69:79:1C, GARBAGE IP, true
10:31:23, 00:23:D4:69:79:1C, GARBAGE IP, true
10:40:48, 00:23:D4:69:79:1C, GARBAGE, true
10:43:34, 00:23:D4:69:79:1C, GARBAGE, true
10:44:46, 00:23:D4:69:79:1C, GARBAGE, true
10:47:59, 00:23:D4:69:79:1C, GARBAGE, true
10:50:29, 00:23:D4:69:79:1C, GARBAGE, true
11:00:49, 00:23:D4:69:79:1C, GARBAGE, true
11:03:17, 00:23:D4:69:79:1C, GARBAGE, true
11:13:19, 00:23:D4:69:79:1C, GARBAGE, true
11:13:24, 00:23:D4:69:79:1C, GARBAGE, true
11:13:26, 00:23:D4:69:79:1C, GARBAGE, true
11:14:36, 00:23:D4:69:79:1C, GARBAGE, true
11:19:18, 00:23:D4:69:79:1C, 192.168.1.1, true
11:19:18, 00:23:D4:69:79:1C, GARBAGE IP, true
11:19:18, 00:23:D4:69:79:1C, GARBAGE IP, true
11:19:18, 00:23:D4:69:79:1C, GARBAGE IP, true
11:19:18, 00:23:D4:69:79:1C, GARBAGE IP, true
11:19:58, 00:23:D4:69:79:1C, GARBAGE, true
11:22:54, 00:23:D4:69:79:1C, GARBAGE, true
11:31:14, 00:23:D4:69:79:1C, GARBAGE, true
11:37:39, 00:23:D4:69:79:1C, GARBAGE, true
11:42:03, 00:23:D4:69:79:1C, GARBAGE, true
11:47:54, 00:23:D4:69:79:1C, GARBAGE, true
11:50:49, 00:23:D4:69:79:1C, GARBAGE, true
11:53:51, 00:23:D4:69:79:1C, GARBAGE, true
11:58:19, 00:23:D4:69:79:1C, GARBAGE, true
12:04:02, 00:23:D4:69:79:1C, GARBAGE, true
12:07:07, 00:23:D4:69:79:1C, GARBAGE, true
12:10:09, 00:23:D4:69:79:1C, GARBAGE, true
12:15:46, 00:23:D4:69:79:1C, GARBAGE, true
12:21:47, 00:23:D4:69:79:1C, 192.168.1.7, true
12:21:48, 00:23:D4:69:79:1C, GARBAGE IP, true
12:21:48, 00:23:D4:69:79:1C, GARBAGE IP, true
12:21:48, 00:23:D4:69:79:1C, GARBAGE IP, true
12:21:48, 00:23:D4:69:79:1C, GARBAGE IP, true
12:21:50, 00:23:D4:69:79:1C, 192.168.1.1, true
12:21:50, 00:23:D4:69:79:1C, GARBAGE IP, true
12:21:50, 00:23:D4:69:79:1C, GARBAGE IP, true
12:21:50, 00:23:D4:69:79:1C, GARBAGE IP, true
12:22:29, 00:23:D4:69:79:1C, 192.168.1.7, true
12:22:29, 00:23:D4:69:79:1C, GARBAGE IP, true
12:22:29, 00:23:D4:69:79:1C, GARBAGE IP, true
12:22:29, 00:23:D4:69:79:1C, GARBAGE IP, true
12:22:29, 00:23:D4:69:79:1C, GARBAGE IP, true
12:22:32, 00:23:D4:69:79:1C, 192.168.1.1, true
12:22:32, 00:23:D4:69:79:1C, GARBAGE IP, true
12:22:32, 00:23:D4:69:79:1C, GARBAGE IP, true
12:22:32, 00:23:D4:69:79:1C, GARBAGE IP, true
12:22:44, 00:23:D4:69:79:1C, GARBAGE, true
12:23:11, 00:23:D4:69:79:1C, 192.168.1.7, true
12:23:12, 00:23:D4:69:79:1C, GARBAGE IP, true
12:23:12, 00:23:D4:69:79:1C, GARBAGE IP, true
12:23:12, 00:23:D4:69:79:1C, GARBAGE IP, true
12:23:12, 00:23:D4:69:79:1C, GARBAGE IP, true
12:23:13, 00:23:D4:69:79:1C, 192.168.1.4, true
12:23:13, 00:23:D4:69:79:1C, GARBAGE IP, true
12:23:53, 00:23:D4:69:79:1C, 192.168.1.7, true
12:23:54, 00:23:D4:69:79:1C, GARBAGE IP, true
12:23:54, 00:23:D4:69:79:1C, GARBAGE IP, true
12:23:54, 00:23:D4:69:79:1C, GARBAGE IP, true
12:23:54, 00:23:D4:69:79:1C, GARBAGE IP, true
12:25:59, 00:23:D4:69:79:1C, GARBAGE, true
12:29:16, 00:23:D4:69:79:1C, GARBAGE, true
12:32:09, 00:23:D4:69:79:1C, GARBAGE, true
12:39:10, 00:23:D4:69:79:1C, GARBAGE, true
12:42:24, 00:23:D4:69:79:1C, GARBAGE, true
12:45:34, 00:23:D4:69:79:1C, GARBAGE, true
12:51:37, 00:23:D4:69:79:1C, GARBAGE, true
12:56:02, 00:23:D4:69:79:1C, GARBAGE, true
13:01:46, 00:23:D4:69:79:1C, GARBAGE, true
13:04:50, 00:23:D4:69:79:1C, GARBAGE, true
13:07:55, 00:23:D4:69:79:1C, GARBAGE, true
13:14:50, 00:23:D4:69:79:1C, GARBAGE, true
13:18:03, 00:23:D4:69:79:1C, GARBAGE, true
13:21:08, 00:23:D4:69:79:1C, GARBAGE, true
13:24:14, 00:23:D4:69:79:1C, GARBAGE, true
13:31:09, 00:23:D4:69:79:1C, GARBAGE, true
13:34:20, 00:23:D4:69:79:1C, GARBAGE, true
13:37:31, 00:23:D4:69:79:1C, GARBAGE, true
13:41:24, 00:23:D4:69:79:1C, GARBAGE, true
13:45:54, 00:23:D4:69:79:1C, GARBAGE, true
13:49:05, 00:23:D4:69:79:1C, GARBAGE, true
13:52:22, 00:23:D4:69:79:1C, GARBAGE, true
13:55:21, 00:23:D4:69:79:1C, GARBAGE, true
14:02:20, 00:23:D4:69:79:1C, GARBAGE, true
14:05:35, 00:23:D4:69:79:1C, GARBAGE, true
14:08:47, 00:23:D4:69:79:1C, GARBAGE, true
14:11:56, 00:23:D4:69:79:1C, GARBAGE, true
14:17:32, 00:23:D4:69:79:1C, GARBAGE, true
14:27:32, 00:23:D4:69:79:1C, GARBAGE, true
14:27:58, 00:23:D4:69:79:1C, GARBAGE, true
14:30:08, 00:23:D4:69:79:1C, GARBAGE, true
14:38:50, 00:23:D4:69:79:1C, GARBAGE, true
14:40:08, 00:23:D4:69:79:1C, GARBAGE, true
14:42:36, 00:23:D4:69:79:1C, GARBAGE, true
14:44:01, 00:23:D4:69:79:1C, 192.168.1.1, true
14:44:01, 00:23:D4:69:79:1C, GARBAGE IP, true
14:44:01, 00:23:D4:69:79:1C, GARBAGE IP, true
14:44:43, 00:23:D4:69:79:1C, 192.168.1.1, true
14:44:43, 00:23:D4:69:79:1C, GARBAGE IP, true
14:44:43, 00:23:D4:69:79:1C, GARBAGE IP, true
14:45:23, 00:23:D4:69:79:1C, 192.168.1.11, true
14:45:23, 00:23:D4:69:79:1C, GARBAGE IP, true
14:45:23, 00:23:D4:69:79:1C, GARBAGE IP, true
14:45:23, 00:23:D4:69:79:1C, GARBAGE IP, true
14:46:48, 00:23:D4:69:79:1C, 192.168.1.11, true
14:46:48, 00:23:D4:69:79:1C, GARBAGE IP, true
