03:35:07, 00:23:D4:6A:B9:0F, GARBAGE IP, true
03:35:51, 00:23:D4:6A:B9:0F, 192.168.1.5, true
03:35:51, 00:23:D4:6A:B9:0F, GARBAGE IP, true
03:35:51, 00:23:D4:6A:B9:0F, GARBAGE IP, true
03:37:14, 00:23:D4:6A:B9:0F, 192.168.1.3, true
03:37:14, 00:23:D4:6A:B9:0F, GARBAGE IP, true
03:37:17, 00:23:D4:6A:B9:0F, GARBAGE, true
03:40:00, 00:23:D4:6A:B9:0F, GARBAGE, true
03:42:29, 00:23:D4:6A:B9:0F, GARBAGE, true
03:49:32, 00:23:D4:6A:B9:0F, GARBAGE, true
03:49:39, 00:23:D4:6A:B9:0F, GARBAGE, true
03:54:53, 00:23:D4:6A:B9:0F, GARBAGE, true
03:58:10, 00:23:D4:6A:B9:0F, GARBAGE, true
04:05:49, 00:23:D4:6A:B9:0F, GARBAGE, true
04:14:07, 00:23:D4:6A:B9:0F, GARBAGE, true
04:24:19, 00:23:D4:6A:B9:0F, GARBAGE, true
04:28:09, 00:23:D4:6A:B9:0F, GARBAGE, true
04:31:33, 00:23:D4:6A:B9:0F, GARBAGE, true
04:32:45, 00:23:D4:6A:B9:0F, 192.168.1.1, true
04:32:45, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:32:45, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:32:45, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:32:45, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:33:27, 00:23:D4:6A:B9:0F, 192.168.1.1, true
04:33:27, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:33:27, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:33:27, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:33:27, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:33:52, 00:23:D4:6A:B9:0F, GARBAGE, true
04:43:33, 00:23:D4:6A:B9:0F, GARBAGE, true
04:43:54, 00:23:D4:6A:B9:0F, GARBAGE, true
04:46:27, 00:23:D4:6A:B9:0F, GARBAGE, true
04:56:06, 00:23:D4:6A:B9:0F, GARBAGE, true
04:56:29, 00:23:D4:6A:B9:0F, GARBAGE, true
04:57:51, 00:23:D4:6A:B9:0F, GARBAGE, true
04:58:59, 00:23:D4:6A:B9:0F, GARBAGE, true
05:00:13, 00:23:D4:6A:B9:0F, 192.168.1.12, true
05:00:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:00:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:00:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:00:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:03:01, 00:23:D4:6A:B9:0F, GARBAGE, true
05:03:16, 00:23:D4:6A:B9:0F, GARBAGE, true
05:14:20, 00:23:D4:6A:B9:0F, GARBAGE, true
05:17:44, 00:23:D4:6A:B9:0F, GARBAGE, true
05:22:29, 00:23:D4:6A:B9:0F, 192.168.1.5, true
05:22:29, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:23:14, 00:23:D4:6A:B9:0F, 192.168.1.5, true
05:23:14, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:23:56, 00:23:D4:6A:B9:0F, 192.168.1.1, true
05:23:56, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:23:56, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:23:56, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:25:15, 00:23:D4:6A:B9:0F, GARBAGE, true
05:27:55, 00:23:D4:6A:B9:0F, GARBAGE, true
05:31:00, 00:23:D4:6A:B9:0F, GARBAGE, true
05:34:01, 00:23:D4:6A:B9:0F, GARBAGE, true
05:41:28, 00:23:D4:6A:B9:0F, GARBAGE, true
05:42:08, 00:23:D4:6A:B9:0F, 192.168.1.5, true
05:42:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:42:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:44:17, 00:23:D4:6A:B9:0F, GARBAGE, true
05:47:10, 00:23:D4:6A:B9:0F, GARBAGE, true
05:50:19, 00:23:D4:6A:B9:0F, GARBAGE, true
05:55:48, 00:23:D4:6A:B9:0F, GARBAGE, true
05:58:55, 00:23:D4:6A:B9:0F, GARBAGE, true
06:01:35, 00:23:D4:6A:B9:0F, GARBAGE, true
06:05:56, 00:23:D4:6A:B9:0F, GARBAGE, true
06:12:18, 00:23:D4:6A:B9:0F, GARBAGE, true
06:15:21, 00:23:D4:6A:B9:0F, GARBAGE, true
06:17:52, 00:23:D4:6A:B9:0F, GARBAGE, true
06:22:21, 00:23:D4:6A:B9:0F, GARBAGE, true
06:25:30, 00:23:D4:6A:B9:0F, GARBAGE, true
06:28:45, 00:23:D4:6A:B9:0F, GARBAGE, true
06:34:44, 00:23:D4:6A:B9:0F, GARBAGE, true
06:39:13, 00:23:D4:6A:B9:0F, GARBAGE, true
06:41:56, 00:23:D4:6A:B9:0F, GARBAGE, true
06:44:57, 00:23:D4:6A:B9:0F, GARBAGE, true
06:51:02, 00:23:D4:6A:B9:0F, GARBAGE, true
06:53:40, 00:23:D4:6A:B9:0F, GARBAGE, true
06:58:01, 00:23:D4:6A:B9:0F, GARBAGE, true
07:01:14, 00:23:D4:6A:B9:0F, GARBAGE, true
07:04:13, 00:23:D4:6A:B9:0F, GARBAGE, true
07:09:53, 00:23:D4:6A:B9:0F, GARBAGE, true
07:14:21, 00:23:D4:6A:B9:0F, GARBAGE, true
07:17:30, 00:23:D4:6A:B9:0F, GARBAGE, true
07:20:43, 00:23:D4:6A:B9:0F, GARBAGE, true
07:23:13, 00:23:D4:6A:B9:0F, GARBAGE, true
07:24:35, 00:23:D4:6A:B9:0F, GARBAGE, true
07:29:04, 00:23:D4:6A:B9:0F, GARBAGE, true
07:32:16, 00:23:D4:6A:B9:0F, GARBAGE, true
07:38:31, 00:23:D4:6A:B9:0F, GARBAGE, true
07:41:06, 00:23:D4:6A:B9:0F, GARBAGE, true
07:45:31, 00:23:D4:6A:B9:0F, GARBAGE, true
07:48:45, 00:23:D4:6A:B9:0F, GARBAGE, true
07:53:37, 00:23:D4:6A:B9:0F, 192.168.1.2, true
07:53:37, 00:23:D4:6A:B9:0F, GARBAGE IP, true
07:53:37, 00:23:D4:6A:B9:0F, GARBAGE IP, true
07:53:37, 00:23:D4:6A:B9:0F, 192.168.1.1, true
07:53:37, 00:23:D4:6A:B9:0F, GARBAGE IP, true
07:53:37, 00:23:D4:6A:B9:0F, GARBAGE IP, true
07:54:19, 00:23:D4:6A:B9:0F, 192.168.1.1, true
07:54:19, 00:23:D4:6A:B9:0F, GARBAGE IP, true
07:54:19, 00:23:D4:6A:B9:0F, GARBAGE IP, true
07:55:01, 00:23:D4:6A:B9:0F, 192.168.1.1, true
07:55:01, 00:23:D4:6A:B9:0F, GARBAGE IP, true
07:55:01, 00:23:D4:6A:B9:0F, GARBAGE IP, true
07:55:05, 00:23:D4:6A:B9:0F, GARBAGE, true
07:57:46, 00:23:D4:6A:B9:0F, GARBAGE, true
08:03:40, 00:23:D4:6A:B9:0F, 192.168.1.1, true
08:03:40, 00:23:D4:6A:B9:0F, GARBAGE IP, true
08:03:40, 00:23:D4:6A:B9:0F, GARBAGE IP, true
08:10:14, 00:23:D4:6A:B9:0F, GARBAGE, true
08:13:23, 00:23:D4:6A:B9:0F, GARBAGE, true
08:14:51, 00:23:D4:6A:B9:0F, 192.168.1.11, true
08:14:51, 00:23:D4:6A:B9:0F, GARBAGE IP, true
08:14:51, 00:23:D4:6A:B9:0F, GARBAGE IP, true
08:14:51, 00:23:D4:6A:B9:0F, GARBAGE IP, true
08:15:33, 00:23:D4:6A:B9:0F, 192.168.1.11, true
08:15:33, 00:23:D4:6A:B9:0F, GARBAGE IP, true
08:15:33, 00:23:D4:6A:B9:0F, GARBAGE IP, true
08:15:33, 00:23:D4:6A:B9:0F, GARBAGE IP, true
08:17:50, 00:23:D4:6A:B9:0F, 192.168.1.1, true
08:17:50, 00:23:D4:6A:B9:0F, GARBAGE IP, true
08:17:50, 00:23:D4:6A:B9:0F, GARBAGE IP, true
08:21:51, 00:23:D4:6A:B9:0F, GARBAGE, true
08:22:02, 00:23:D4:6A:B9:0F, GARBAGE, true
08:23:28, 00:23:D4:6A:B9:0F, GARBAGE, true
08:23:46, 00:23:D4:6A:B9:0F, GARBAGE, true
08:25:50, 00:23:D4:6A:B9:0F, GARBAGE, true
08:33:17, 00:23:D4:6A:B9:0F, GARBAGE, true
08:37:45, 00:23:D4:6A:B9:0F, GARBAGE, true
08:42:11, 00:23:D4:6A:B9:0F, GARBAGE, true
08:48:36, 00:23:D4:6A:B9:0F, GARBAGE, true
08:51:10, 00:23:D4:6A:B9:0F, GARBAGE, true
08:55:39, 00:23:D4:6A:B9:0F, GARBAGE, true
09:02:07, 00:23:D4:6A:B9:0F, GARBAGE, true
09:05:13, 00:23:D4:6A:B9:0F, GARBAGE, true
09:07:42, 00:23:D4:6A:B9:0F, GARBAGE, true
09:12:06, 00:23:D4:6A:B9:0F, GARBAGE, true
09:12:20, 00:23:D4:6A:B9:0F, 192.168.1.12, true
09:12:20, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:12:20, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:12:20, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:12:20, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:13:01, 00:23:D4:6A:B9:0F, 192.168.1.12, true
09:13:02, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:13:02, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:13:02, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:13:02, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:13:43, 00:23:D4:6A:B9:0F, 192.168.1.12, true
09:13:43, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:13:43, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:13:43, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:13:43, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:14:27, 00:23:D4:6A:B9:0F, 192.168.1.11, true
09:14:28, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:14:28, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:14:28, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:14:28, 00:23:D4:6A:B9:0F, GARBAGE IP, true
09:15:13, 00:23:D4:6A:B9:0F, GARBAGE, true
09:15:21, 00:23:D4:6A:B9:0F, GARBAGE, true
09:18:41, 00:23:D4:6A:B9:0F, GARBAGE, true
09:25:00, 00:23:D4:6A:B9:0F, GARBAGE, true
09:28:54, 00:23:D4:6A:B9:0F, GARBAGE, true
09:31:38, 00:23:D4:6A:B9:0F, GARBAGE, true
09:36:05, 00:23:D4:6A:B9:0F, GARBAGE, true
09:42:34, 00:23:D4:6A:B9:0F, GARBAGE, true
09:45:34, 00:23:D4:6A:B9:0F, GARBAGE, true
09:50:02, 00:23:D4:6A:B9:0F, GARBAGE, true
09:52:47, 00:23:D4:6A:B9:0F, GARBAGE, true
09:58:55, 00:23:D4:6A:B9:0F, GARBAGE, true
10:03:16, 00:23:D4:6A:B9:0F, GARBAGE, true
10:06:30, 00:23:D4:6A:B9:0F, GARBAGE, true
10:12:02, 00:23:D4:6A:B9:0F, GARBAGE, true
10:12:11, 00:23:D4:6A:B9:0F, GARBAGE, true
10:13:57, 00:23:D4:6A:B9:0F, GARBAGE, true
10:18:14, 00:23:D4:6A:B9:0F, GARBAGE, true
10:18:21, 00:23:D4:6A:B9:0F, GARBAGE, true
10:18:29, 00:23:D4:6A:B9:0F, GARBAGE, true
10:21:55, 00:23:D4:6A:B9:0F, GARBAGE, true
10:29:34, 00:23:D4:6A:B9:0F, GARBAGE, true
10:32:51, 00:23:D4:6A:B9:0F, GARBAGE, true
10:35:57, 00:23:D4:6A:B9:0F, GARBAGE, true
10:38:30, 00:23:D4:6A:B9:0F, GARBAGE, true
10:44:46, 00:23:D4:6A:B9:0F, GARBAGE, true
10:49:09, 00:23:D4:6A:B9:0F, GARBAGE, true
10:52:26, 00:23:D4:6A:B9:0F, GARBAGE, true
10:54:55, 00:23:D4:6A:B9:0F, GARBAGE, true
11:02:08, 00:23:D4:6A:B9:0F, GARBAGE, true
11:05:22, 00:23:D4:6A:B9:0F, GARBAGE, true
11:07:54, 00:23:D4:6A:B9:0F, GARBAGE, true
11:10:57, 00:23:D4:6A:B9:0F, GARBAGE, true
11:23:13, 00:23:D4:6A:B9:0F, 192.168.1.11, true
11:23:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
11:23:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
11:23:14, 00:23:D4:6A:B9:0F, 192.168.1.1, true
11:23:14, 00:23:D4:6A:B9:0F, GARBAGE IP, true
11:23:23, 00:23:D4:6A:B9:0F, GARBAGE, true
11:29:35, 00:23:D4:6A:B9:0F, GARBAGE, true
11:37:26, 00:23:D4:6A:B9:0F, GARBAGE, true
11:40:33, 00:23:D4:6A:B9:0F, GARBAGE, true
11:43:03, 00:23:D4:6A:B9:0F, GARBAGE, true
11:49:31, 00:23:D4:6A:B9:0F, GARBAGE, true
11:53:57, 00:23:D4:6A:B9:0F, GARBAGE, true
11:57:10, 00:23:D4:6A:B9:0F, GARBAGE, true
11:59:46, 00:23:D4:6A:B9:0F, GARBAGE, true
12:06:00, 00:23:D4:6A:B9:0F, GARBAGE, true
12:06:08, 00:23:D4:6A:B9:0F, GARBAGE, true
12:10:32, 00:23:D4:6A:B9:0F, GARBAGE, true
12:13:43, 00:23:D4:6A:B9:0F, GARBAGE, true
