09:07:54, 00:23:D4:6A:E5:21, 192.168.1.4, true
09:07:54, 00:23:D4:6A:E5:21, GARBAGE IP, true
09:07:54, 00:23:D4:6A:E5:21, GARBAGE IP, true
09:08:10, 00:23:D4:6A:E5:21, GARBAGE, true
09:09:05, 00:23:D4:6A:E5:21, GARBAGE, true
09:10:35, 00:23:D4:6A:E5:21, GARBAGE, true
09:15:44, 00:23:D4:6A:E5:21, GARBAGE, true
09:22:10, 00:23:D4:6A:E5:21, GARBAGE, true
09:27:56, 00:23:D4:6A:E5:21, GARBAGE, true
09:29:34, 00:23:D4:6A:E5:21, GARBAGE, false
09:39:51, 00:23:D4:6A:E5:21, GARBAGE, false
09:42:40, 00:23:D4:6A:E5:21, GARBAGE, true
09:48:43, 00:23:D4:6A:E5:21, GARBAGE, true
09:52:54, 00:23:D4:6A:E5:21, GARBAGE, false
09:55:44, 00:23:D4:6A:E5:21, GARBAGE, true
10:05:16, 00:23:D4:6A:E5:21, GARBAGE, true
10:07:05, 00:23:D4:6A:E5:21, GARBAGE, true
10:13:29, 00:23:D4:6A:E5:21, GARBAGE, true
10:16:00, 00:23:D4:6A:E5:21, 192.168.1.3, false
10:16:00, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:16:00, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:16:02, 00:23:D4:6A:E5:21, 192.168.1.8, true
10:16:02, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:16:02, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:16:02, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:16:02, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:17:06, 00:23:D4:6A:E5:21, GARBAGE, true
10:17:24, 00:23:D4:6A:E5:21, 192.168.1.3, false
10:17:24, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:17:24, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:18:08, 00:23:D4:6A:E5:21, 192.168.1.8, true
10:18:08, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:18:08, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:18:08, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:18:08, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:18:08, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:18:48, 00:23:D4:6A:E5:21, 192.168.1.3, false
10:18:48, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:18:48, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:21:26, 00:23:D4:6A:E5:21, GARBAGE, true
10:24:14, 00:23:D4:6A:E5:21, GARBAGE, true
10:26:43, 00:23:D4:6A:E5:21, GARBAGE, true
10:32:51, 00:23:D4:6A:E5:21, 192.168.1.5, false
10:32:51, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:32:51, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:33:34, 00:23:D4:6A:E5:21, 192.168.1.5, false
10:33:34, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:33:34, 00:23:D4:6A:E5:21, GARBAGE IP, true
10:39:45, 00:23:D4:6A:E5:21, GARBAGE, true
10:42:35, 00:23:D4:6A:E5:21, GARBAGE, true
10:46:59, 00:23:D4:6A:E5:21, GARBAGE, true
10:47:12, 00:23:D4:6A:E5:21, GARBAGE, true
10:59:43, 00:23:D4:6A:E5:21, GARBAGE, true
11:05:10, 00:23:D4:6A:E5:21, 192.168.1.5, false
11:05:10, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:05:10, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:05:50, 00:23:D4:6A:E5:21, 192.168.1.5, false
11:05:50, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:05:50, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:06:35, 00:23:D4:6A:E5:21, 192.168.1.5, false
11:06:35, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:06:35, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:11:59, 00:23:D4:6A:E5:21, GARBAGE, true
11:12:22, 00:23:D4:6A:E5:21, GARBAGE, true
11:12:25, 00:23:D4:6A:E5:21, GARBAGE, true
11:13:31, 00:23:D4:6A:E5:21, GARBAGE, true
11:15:26, 00:23:D4:6A:E5:21, GARBAGE, true
11:17:07, 00:23:D4:6A:E5:21, 192.168.1.11, true
11:17:07, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:17:07, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:17:07, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:17:08, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:19:03, 00:23:D4:6A:E5:21, GARBAGE, true
11:21:48, 00:23:D4:6A:E5:21, GARBAGE, true
11:26:47, 00:23:D4:6A:E5:21, GARBAGE, true
11:31:52, 00:23:D4:6A:E5:21, 192.168.1.5, false
11:31:52, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:31:52, 00:23:D4:6A:E5:21, GARBAGE IP, true
11:33:26, 00:23:D4:6A:E5:21, GARBAGE, true
11:36:30, 00:23:D4:6A:E5:21, GARBAGE, true
11:40:57, 00:23:D4:6A:E5:21, GARBAGE, true
11:43:43, 00:23:D4:6A:E5:21, GARBAGE, true
11:49:44, 00:23:D4:6A:E5:21, GARBAGE, true
11:52:43, 00:23:D4:6A:E5:21, GARBAGE, true
11:57:11, 00:23:D4:6A:E5:21, GARBAGE, true
12:00:06, 00:23:D4:6A:E5:21, GARBAGE, true
12:06:02, 00:23:D4:6A:E5:21, GARBAGE, true
12:09:02, 00:23:D4:6A:E5:21, GARBAGE, true
12:11:38, 00:23:D4:6A:E5:21, GARBAGE, true
12:17:22, 00:23:D4:6A:E5:21, GARBAGE, true
12:21:35, 00:23:D4:6A:E5:21, GARBAGE, true
12:24:52, 00:23:D4:6A:E5:21, GARBAGE, true
12:31:05, 00:23:D4:6A:E5:21, GARBAGE, true
12:33:39, 00:23:D4:6A:E5:21, GARBAGE, true
12:38:03, 00:23:D4:6A:E5:21, GARBAGE, true
12:44:24, 00:23:D4:6A:E5:21, GARBAGE, true
12:47:21, 00:23:D4:6A:E5:21, GARBAGE, true
12:54:56, 00:23:D4:6A:E5:21, GARBAGE, true
12:57:43, 00:23:D4:6A:E5:21, GARBAGE, true
13:00:39, 00:23:D4:6A:E5:21, GARBAGE, true
13:03:40, 00:23:D4:6A:E5:21, GARBAGE, true
13:08:23, 00:23:D4:6A:E5:21, 192.168.1.4, true
13:08:23, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:08:23, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:09:05, 00:23:D4:6A:E5:21, 192.168.1.4, true
13:09:05, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:09:05, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:09:28, 00:23:D4:6A:E5:21, GARBAGE, true
13:09:47, 00:23:D4:6A:E5:21, 192.168.1.4, true
13:09:47, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:09:47, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:10:29, 00:23:D4:6A:E5:21, 192.168.1.4, true
13:10:29, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:10:29, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:11:11, 00:23:D4:6A:E5:21, 192.168.1.4, true
13:11:11, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:11:11, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:11:15, 00:23:D4:6A:E5:21, 192.168.1.2, true
13:11:15, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:11:15, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:13:41, 00:23:D4:6A:E5:21, GARBAGE, true
13:16:56, 00:23:D4:6A:E5:21, GARBAGE, true
13:21:36, 00:23:D4:6A:E5:21, 192.168.1.2, true
13:21:36, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:21:36, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:22:18, 00:23:D4:6A:E5:21, 192.168.1.2, true
13:22:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:22:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:23:00, 00:23:D4:6A:E5:21, 192.168.1.2, true
13:23:00, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:23:00, 00:23:D4:6A:E5:21, GARBAGE IP, true
13:23:05, 00:23:D4:6A:E5:21, GARBAGE, true
13:25:40, 00:23:D4:6A:E5:21, GARBAGE, true
13:30:03, 00:23:D4:6A:E5:21, GARBAGE, true
13:36:26, 00:23:D4:6A:E5:21, GARBAGE, true
13:39:02, 00:23:D4:6A:E5:21, GARBAGE, true
13:44:45, 00:23:D4:6A:E5:21, GARBAGE, true
13:54:19, 00:23:D4:6A:E5:21, GARBAGE, true
13:56:53, 00:23:D4:6A:E5:21, GARBAGE, true
14:01:11, 00:23:D4:6A:E5:21, GARBAGE, true
14:04:34, 00:23:D4:6A:E5:21, GARBAGE, true
14:07:46, 00:23:D4:6A:E5:21, GARBAGE, true
14:13:14, 00:23:D4:6A:E5:21, 192.168.1.4, true
14:13:14, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:13:14, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:13:33, 00:23:D4:6A:E5:21, GARBAGE, true
14:13:56, 00:23:D4:6A:E5:21, 192.168.1.4, true
14:13:56, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:13:56, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:14:38, 00:23:D4:6A:E5:21, 192.168.1.4, true
14:14:38, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:14:38, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:16:32, 00:23:D4:6A:E5:21, GARBAGE, true
14:26:05, 00:23:D4:6A:E5:21, GARBAGE, true
14:26:57, 00:23:D4:6A:E5:21, GARBAGE, true
14:27:01, 00:23:D4:6A:E5:21, GARBAGE, true
14:29:07, 00:23:D4:6A:E5:21, GARBAGE, true
14:30:32, 00:23:D4:6A:E5:21, 192.168.1.9, true
14:30:32, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:30:32, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:31:17, 00:23:D4:6A:E5:21, 192.168.1.9, true
14:31:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:31:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:37:32, 00:23:D4:6A:E5:21, GARBAGE, true
14:39:36, 00:23:D4:6A:E5:21, GARBAGE, true
14:42:17, 00:23:D4:6A:E5:21, 192.168.1.1, true
14:42:17, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:17, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:17, 00:23:D4:6A:E5:21, 192.168.1.12, true
14:42:17, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:18, 00:23:D4:6A:E5:21, 192.168.1.8, true
14:42:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:49, 00:23:D4:6A:E5:21, GARBAGE, true
14:42:59, 00:23:D4:6A:E5:21, 192.168.1.1, true
14:42:59, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:59, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:59, 00:23:D4:6A:E5:21, 192.168.1.12, true
14:42:59, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:59, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:42:59, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:43:40, 00:23:D4:6A:E5:21, 192.168.1.1, true
14:43:41, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:43:41, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:43:41, 00:23:D4:6A:E5:21, 192.168.1.12, true
14:43:41, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:43:41, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:43:41, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:44:23, 00:23:D4:6A:E5:21, 192.168.1.12, true
14:44:23, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:44:23, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:44:23, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:45:47, 00:23:D4:6A:E5:21, 192.168.1.12, true
14:45:47, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:45:47, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:45:47, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:46:17, 00:23:D4:6A:E5:21, GARBAGE, true
14:49:07, 00:23:D4:6A:E5:21, GARBAGE, true
14:50:15, 00:23:D4:6A:E5:21, GARBAGE, true
14:55:07, 00:23:D4:6A:E5:21, 192.168.1.1, true
14:55:07, 00:23:D4:6A:E5:21, GARBAGE IP, true
14:55:07, 00:23:D4:6A:E5:21, GARBAGE IP, true
15:01:07, 00:23:D4:6A:E5:21, GARBAGE, true
15:04:15, 00:23:D4:6A:E5:21, GARBAGE, true
15:06:57, 00:23:D4:6A:E5:21, GARBAGE, true
15:11:28, 00:23:D4:6A:E5:21, GARBAGE, true
15:14:37, 00:23:D4:6A:E5:21, GARBAGE, true
15:21:34, 00:23:D4:6A:E5:21, 192.168.1.2, true
15:21:34, 00:23:D4:6A:E5:21, GARBAGE IP, true
15:21:34, 00:23:D4:6A:E5:21, GARBAGE IP, true
15:22:16, 00:23:D4:6A:E5:21, 192.168.1.2, true
15:22:16, 00:23:D4:6A:E5:21, GARBAGE IP, true
15:22:16, 00:23:D4:6A:E5:21, GARBAGE IP, true
15:22:58, 00:23:D4:6A:E5:21, 192.168.1.2, true
15:22:58, 00:23:D4:6A:E5:21, GARBAGE IP, true
15:22:58, 00:23:D4:6A:E5:21, GARBAGE IP, true
