16:54:12, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
16:58:06, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, update
17:02:24, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, update
