16:51:20, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:51:27, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
16:55:36, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
16:56:45, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
16:59:46, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, update
