20:41:17, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:41:18, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:41:19, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:41:20, 00:23:D4:6A:87:DE, 192.168.1.14, true
20:41:20, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:41:59, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:41:59, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:42:01, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:42:02, 00:23:D4:6A:87:DE, 192.168.1.14, true
20:42:02, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:42:40, 00:23:D4:6A:87:DE, 192.168.1.15, true
20:42:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:44:04, 00:23:D4:6A:87:DE, 192.168.1.15, true
20:44:04, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:44:04, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:44:47, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:44:49, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:45:31, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:46:10, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:46:11, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:46:13, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:46:52, 00:23:D4:6A:87:DE, 192.168.1.15, true
20:46:52, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:46:53, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:46:55, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:48:58, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:49:40, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:51:04, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:51:49, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:53:13, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:53:51, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:53:51, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:54:33, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:55:19, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:55:57, 00:23:D4:6A:87:DE, 192.168.1.2, false
