20:36:13, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:36:15, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:36:16, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:36:16, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:36:16, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:36:55, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:36:57, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:36:57, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:36:58, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:36:58, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:39:42, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:39:45, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:40:26, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:40:28, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:41:06, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:41:08, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:41:10, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:41:48, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:41:50, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:41:52, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:43:58, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:44:40, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:45:22, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:46:03, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:46:44, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:46:45, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:48:08, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:49:33, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:50:14, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:50:15, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:50:56, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:50:57, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:51:35, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:51:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:51:38, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:51:39, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:53:41, 00:23:D4:6A:BF:DE, 192.168.1.16, false
20:53:41, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:53:44, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:54:22, 00:23:D4:6A:BF:DE, 192.168.1.16, false
20:54:22, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:54:27, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:55:47, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:55:47, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:55:50, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:55:51, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:56:32, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:58:38, 00:23:D4:6A:BF:DE, 192.168.1.13, true
20:58:38, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:59:20, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:00:02, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:00:02, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:00:02, 00:23:D4:6A:BF:DE, 192.168.1.13, true
21:00:02, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:00:44, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:00:44, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:01:26, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:03:32, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:04:14, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:04:54, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:04:56, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:04:56, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:05:38, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:05:38, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:06:17, 00:23:D4:6A:BF:DE, 192.168.1.19, true
21:06:17, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:06:19, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:07:02, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:08:25, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:09:49, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:09:49, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:09:50, 00:23:D4:6A:BF:DE, 192.168.1.19, true
21:09:50, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:09:51, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:10:30, 00:23:D4:6A:BF:DE, 192.168.1.14, true
21:10:30, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:10:31, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:10:31, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:10:32, 00:23:D4:6A:BF:DE, 192.168.1.19, true
21:10:32, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:10:32, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:11:13, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:11:14, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:11:54, 00:23:D4:6A:BF:DE, 192.168.1.14, true
21:11:54, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:11:56, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:12:35, 00:23:D4:6A:BF:DE, 192.168.1.14, true
21:12:36, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:12:37, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:13:17, 00:23:D4:6A:BF:DE, 192.168.1.14, true
21:13:17, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:13:19, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:13:59, 00:23:D4:6A:BF:DE, 192.168.1.14, true
21:13:59, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:14:01, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:14:01, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:14:41, 00:23:D4:6A:BF:DE, 192.168.1.14, true
21:14:41, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:14:42, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:14:43, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:14:44, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:15:24, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:15:25, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:16:06, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:16:07, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:16:47, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:17:29, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:17:31, 00:23:D4:6A:BF:DE, 192.168.1.13, true
21:17:31, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:18:11, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:18:13, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:18:53, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:18:55, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:18:55, 00:23:D4:6A:BF:DE, 192.168.1.13, true
21:18:55, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:19:34, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:19:37, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:19:37, 00:23:D4:6A:BF:DE, 192.168.1.13, true
21:19:37, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:19:37, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:20:16, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:20:19, 00:23:D4:6A:BF:DE, 192.168.1.13, true
21:20:19, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:20:19, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:20:58, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:21:01, 00:23:D4:6A:BF:DE, 192.168.1.13, true
21:21:01, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:21:01, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:21:01, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:21:39, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:21:43, 00:23:D4:6A:BF:DE, 192.168.1.13, true
21:21:43, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:21:43, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:22:21, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:23:03, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:23:07, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:23:45, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:23:48, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:24:26, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:24:30, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:24:31, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:25:54, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:29:24, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:29:25, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:30:06, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:30:48, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:31:29, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:32:11, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:32:54, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:32:55, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:33:35, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:34:16, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:34:19, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:34:58, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:34:59, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:35:40, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:35:41, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:35:43, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:36:21, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:37:03, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:37:45, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:38:27, 00:23:D4:6A:BF:DE, 192.168.1.4, false
21:38:29, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:39:11, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:39:13, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:39:53, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:39:55, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:40:35, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:43:23, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:44:03, 00:23:D4:6A:BF:DE, 192.168.1.15, true
21:44:03, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:44:05, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:44:45, 00:23:D4:6A:BF:DE, 192.168.1.15, true
21:44:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:44:46, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:44:48, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:45:27, 00:23:D4:6A:BF:DE, 192.168.1.15, true
21:45:27, 00:23:D4:6A:BF:DE, GARBAGE IP, true
21:45:30, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:47:35, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:48:58, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:49:40, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:49:42, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:50:22, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:52:28, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:53:10, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:53:54, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:54:34, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:54:35, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:55:16, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:55:17, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:57:22, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:58:46, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:58:47, 00:23:D4:6A:BF:DE, 192.168.1.3, false
21:59:28, 00:23:D4:6A:BF:DE, 192.168.1.1, false
21:59:29, 00:23:D4:6A:BF:DE, 192.168.1.3, false
22:00:10, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:02:16, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:02:17, 00:23:D4:6A:BF:DE, 192.168.1.15, true
22:02:17, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:03:39, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:03:41, 00:23:D4:6A:BF:DE, 192.168.1.15, true
22:03:41, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:04:21, 00:23:D4:6A:BF:DE, 192.168.1.1, false
