22:17:45, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:18:27, 00:23:D4:6A:E5:21, 192.168.1.19, true
22:18:27, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:21:54, 00:23:D4:6A:E5:21, GARBAGE, false
22:23:35, 00:23:D4:6A:E5:21, 192.168.1.1, false
22:23:38, 00:23:D4:6A:E5:21, 192.168.1.14, true
22:23:38, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:24:17, 00:23:D4:6A:E5:21, 192.168.1.1, false
22:24:18, 00:23:D4:6A:E5:21, 192.168.1.2, false
22:24:59, 00:23:D4:6A:E5:21, 192.168.1.1, false
22:25:02, 00:23:D4:6A:E5:21, 192.168.1.19, true
22:25:02, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:27:07, 00:23:D4:6A:E5:21, 192.168.1.19, true
22:27:07, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:27:47, 00:23:D4:6A:E5:21, 192.168.1.1, false
22:31:16, 00:23:D4:6A:E5:21, GARBAGE, false
22:34:24, 00:23:D4:6A:E5:21, 192.168.1.4, false
22:37:08, 00:23:D4:6A:E5:21, 192.168.1.15, true
22:37:08, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:40:37, 00:23:D4:6A:E5:21, GARBAGE, false
22:43:46, 00:23:D4:6A:E5:21, 192.168.1.19, true
22:43:46, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:45:09, 00:23:D4:6A:E5:21, 192.168.1.19, true
22:45:09, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:45:51, 00:23:D4:6A:E5:21, 192.168.1.19, true
22:45:51, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:46:33, 00:23:D4:6A:E5:21, 192.168.1.19, true
22:46:33, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:50:00, 00:23:D4:6A:E5:21, GARBAGE, false
22:53:07, 00:23:D4:6A:E5:21, 192.168.1.19, true
22:53:07, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:53:46, 00:23:D4:6A:E5:21, 192.168.1.3, false
22:54:28, 00:23:D4:6A:E5:21, 192.168.1.3, false
22:54:31, 00:23:D4:6A:E5:21, 192.168.1.19, true
22:54:31, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:55:54, 00:23:D4:6A:E5:21, 192.168.1.19, true
22:55:54, 00:23:D4:6A:E5:21, GARBAGE IP, true
22:59:21, 00:23:D4:6A:E5:21, GARBAGE, false
23:02:28, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:02:28, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:03:52, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:03:52, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:03:54, 00:23:D4:6A:E5:21, 192.168.1.15, true
23:03:54, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:05:15, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:05:15, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:05:17, 00:23:D4:6A:E5:21, 192.168.1.5, false
23:08:43, 00:23:D4:6A:E5:21, GARBAGE, false
23:11:50, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:11:50, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:13:55, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:13:55, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:14:37, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:14:37, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:14:38, 00:23:D4:6A:E5:21, 192.168.1.2, false
23:18:04, 00:23:D4:6A:E5:21, GARBAGE, false
23:21:10, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:21:10, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:23:15, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:23:15, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:27:25, 00:23:D4:6A:E5:21, GARBAGE, false
23:29:09, 00:23:D4:6A:E5:21, 192.168.1.5, false
23:30:31, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:30:31, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:32:37, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:32:37, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:32:38, 00:23:D4:6A:E5:21, 192.168.1.5, false
23:33:18, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:33:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:33:20, 00:23:D4:6A:E5:21, 192.168.1.5, false
23:36:47, 00:23:D4:6A:E5:21, GARBAGE, false
23:38:31, 00:23:D4:6A:E5:21, 192.168.1.3, false
23:39:51, 00:23:D4:6A:E5:21, 192.168.1.3, false
23:39:53, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:39:53, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:41:14, 00:23:D4:6A:E5:21, 192.168.1.3, false
23:41:16, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:41:16, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:41:57, 00:23:D4:6A:E5:21, 192.168.1.3, false
23:41:58, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:41:58, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:42:38, 00:23:D4:6A:E5:21, 192.168.1.3, false
23:42:40, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:42:40, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:46:08, 00:23:D4:6A:E5:21, GARBAGE, false
23:50:38, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:50:38, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:51:19, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:51:19, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:55:31, 00:23:D4:6A:E5:21, GARBAGE, false
23:57:11, 00:23:D4:6A:E5:21, 192.168.1.1, false
23:57:12, 00:23:D4:6A:E5:21, 192.168.1.5, false
23:57:16, 00:23:D4:6A:E5:21, 192.168.1.2, false
23:58:35, 00:23:D4:6A:E5:21, 192.168.1.19, true
