22:15:33, 00:23:D4:6A:22:09, 192.168.1.19, true
22:15:33, 00:23:D4:6A:22:09, GARBAGE IP, true
22:19:45, 00:23:D4:6A:22:09, GARBAGE, false
22:22:12, 00:23:D4:6A:22:09, 192.168.1.3, false
22:23:32, 00:23:D4:6A:22:09, 192.168.1.12, false
22:23:32, 00:23:D4:6A:22:09, GARBAGE IP, true
22:24:55, 00:23:D4:6A:22:09, 192.168.1.19, true
22:24:55, 00:23:D4:6A:22:09, GARBAGE IP, true
22:24:56, 00:23:D4:6A:22:09, 192.168.1.12, false
22:24:56, 00:23:D4:6A:22:09, GARBAGE IP, true
22:25:38, 00:23:D4:6A:22:09, 192.168.1.12, false
22:25:38, 00:23:D4:6A:22:09, GARBAGE IP, true
22:29:09, 00:23:D4:6A:22:09, GARBAGE, false
22:30:49, 00:23:D4:6A:22:09, 192.168.1.4, false
22:38:34, 00:23:D4:6A:22:09, GARBAGE, false
22:43:03, 00:23:D4:6A:22:09, 192.168.1.1, false
22:43:04, 00:23:D4:6A:22:09, 192.168.1.2, false
22:44:27, 00:23:D4:6A:22:09, 192.168.1.1, false
22:44:28, 00:23:D4:6A:22:09, 192.168.1.2, false
22:47:59, 00:23:D4:6A:22:09, GARBAGE, false
22:49:43, 00:23:D4:6A:22:09, 192.168.1.16, true
22:49:43, 00:23:D4:6A:22:09, GARBAGE IP, true
22:50:25, 00:23:D4:6A:22:09, 192.168.1.16, true
22:50:25, 00:23:D4:6A:22:09, GARBAGE IP, true
22:50:26, 00:23:D4:6A:22:09, 192.168.1.13, true
22:50:26, 00:23:D4:6A:22:09, GARBAGE IP, true
22:51:06, 00:23:D4:6A:22:09, 192.168.1.16, true
22:51:06, 00:23:D4:6A:22:09, GARBAGE IP, true
22:51:48, 00:23:D4:6A:22:09, 192.168.1.16, true
22:51:48, 00:23:D4:6A:22:09, GARBAGE IP, true
22:52:30, 00:23:D4:6A:22:09, 192.168.1.16, true
22:52:30, 00:23:D4:6A:22:09, GARBAGE IP, true
22:53:51, 00:23:D4:6A:22:09, 192.168.1.4, false
22:57:24, 00:23:D4:6A:22:09, GARBAGE, false
22:59:05, 00:23:D4:6A:22:09, 192.168.1.16, true
22:59:05, 00:23:D4:6A:22:09, GARBAGE IP, true
22:59:07, 00:23:D4:6A:22:09, 192.168.1.13, true
22:59:07, 00:23:D4:6A:22:09, GARBAGE IP, true
22:59:47, 00:23:D4:6A:22:09, 192.168.1.16, true
22:59:47, 00:23:D4:6A:22:09, GARBAGE IP, true
23:00:33, 00:23:D4:6A:22:09, 192.168.1.2, false
23:01:11, 00:23:D4:6A:22:09, 192.168.1.16, true
23:01:11, 00:23:D4:6A:22:09, GARBAGE IP, true
23:02:34, 00:23:D4:6A:22:09, 192.168.1.2, false
23:02:38, 00:23:D4:6A:22:09, 192.168.1.1, false
23:03:20, 00:23:D4:6A:22:09, 192.168.1.1, false
23:06:47, 00:23:D4:6A:22:09, GARBAGE, false
23:16:12, 00:23:D4:6A:22:09, GARBAGE, false
23:17:54, 00:23:D4:6A:22:09, 192.168.1.1, false
23:22:05, 00:23:D4:6A:22:09, 192.168.1.1, false
23:25:37, 00:23:D4:6A:22:09, GARBAGE, false
23:35:03, 00:23:D4:6A:22:09, GARBAGE, false
23:36:43, 00:23:D4:6A:22:09, 192.168.1.5, false
23:36:45, 00:23:D4:6A:22:09, 192.168.1.1, false
23:37:25, 00:23:D4:6A:22:09, 192.168.1.5, false
23:44:27, 00:23:D4:6A:22:09, GARBAGE, false
23:53:51, 00:23:D4:6A:22:09, GARBAGE, false
23:55:35, 00:23:D4:6A:22:09, 192.168.1.1, false
00:03:15, 00:23:D4:6A:22:09, GARBAGE, false
00:04:59, 00:23:D4:6A:22:09, 192.168.1.3, false
00:07:45, 00:23:D4:6A:22:09, 192.168.1.19, true
00:07:45, 00:23:D4:6A:22:09, GARBAGE IP, true
00:12:40, 00:23:D4:6A:22:09, GARBAGE, false
00:14:25, 00:23:D4:6A:22:09, 192.168.1.1, false
00:15:48, 00:23:D4:6A:22:09, 192.168.1.12, true
00:15:48, 00:23:D4:6A:22:09, GARBAGE IP, true
00:15:49, 00:23:D4:6A:22:09, 192.168.1.1, false
00:17:13, 00:23:D4:6A:22:09, 192.168.1.1, false
00:18:35, 00:23:D4:6A:22:09, 192.168.1.19, true
00:18:35, 00:23:D4:6A:22:09, GARBAGE IP, true
00:18:36, 00:23:D4:6A:22:09, 192.168.1.12, true
00:18:36, 00:23:D4:6A:22:09, GARBAGE IP, true
00:18:36, 00:23:D4:6A:22:09, 192.168.1.1, false
00:22:05, 00:23:D4:6A:22:09, GARBAGE, false
00:23:47, 00:23:D4:6A:22:09, 192.168.1.5, false
00:25:14, 00:23:D4:6A:22:09, 192.168.1.3, false
00:25:53, 00:23:D4:6A:22:09, 192.168.1.12, true
00:25:53, 00:23:D4:6A:22:09, GARBAGE IP, true
00:25:53, 00:23:D4:6A:22:09, 192.168.1.5, false
00:26:34, 00:23:D4:6A:22:09, 192.168.1.12, true
00:26:34, 00:23:D4:6A:22:09, GARBAGE IP, true
00:27:15, 00:23:D4:6A:22:09, 192.168.1.3, false
00:31:31, 00:23:D4:6A:22:09, GARBAGE, false
00:33:15, 00:23:D4:6A:22:09, 192.168.1.4, false
00:36:01, 00:23:D4:6A:22:09, 192.168.1.12, true
00:36:01, 00:23:D4:6A:22:09, GARBAGE IP, true
00:36:43, 00:23:D4:6A:22:09, 192.168.1.12, true
00:36:43, 00:23:D4:6A:22:09, GARBAGE IP, true
00:37:25, 00:23:D4:6A:22:09, 192.168.1.4, false
00:37:27, 00:23:D4:6A:22:09, 192.168.1.1, false
00:40:57, 00:23:D4:6A:22:09, GARBAGE, false
00:42:39, 00:23:D4:6A:22:09, 192.168.1.5, false
00:43:20, 00:23:D4:6A:22:09, 192.168.1.5, false
00:44:03, 00:23:D4:6A:22:09, 192.168.1.3, false
