11:19:22, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
11:19:22, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, true, update
11:19:32, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
11:23:14, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
11:27:32, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
