Service discovery failed DEVICE:ty [25 Feb 2011 15:14:14 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:56:35 GMT]
Connection timed out DEVICE:sgaf [25 Feb 2011 16:10:07 GMT]
Connection refused DEVICE:zxc [25 Feb 2011 16:10:11 GMT]
Connection refused DEVICE:ty [25 Feb 2011 16:10:14 GMT]
Connection refused DEVICE:qwerty [25 Feb 2011 16:10:19 GMT]
Service discovery failed DEVICE:asdf [25 Feb 2011 16:10:31 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 16:20:05 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 16:20:11 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 16:49:08 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 16:49:14 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 16:49:20 GMT]
HTC Dream cancled election initiation [25 Feb 2011 17:17:51 GMT]
