11:15:17, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, bluetooth_network, true, update
11:15:18, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
11:28:08, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
