18:19:44, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:19:44, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:24:25, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:24:25, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:25:16, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:25:16, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:26:00, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:26:00, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:26:00, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
18:26:08, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:26:08, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:26:09, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:26:09, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:26:09, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
18:26:59, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:26:59, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:27:10, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:27:10, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:27:51, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:27:51, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:28:28, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:28:28, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
