14:25:35, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:25:35, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
14:25:37, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:25:37, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
14:26:06, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:26:06, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:27:21, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:27:21, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:27:21, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:27:21, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
14:27:48, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:27:48, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:27:49, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:27:49, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:28:39, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:28:40, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:28:55, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:28:55, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:28:56, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:28:56, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
