21:34:10, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:34:12, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:34:12, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:35:43, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:35:43, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:35:46, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:35:46, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:36:36, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:36:38, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:36:38, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:36:41, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:36:41, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:36:43, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:36:43, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:37:23, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:37:26, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:37:43, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:37:43, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:37:46, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:37:46, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:38:21, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:38:23, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:38:23, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:38:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:38:52, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:39:52, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:39:54, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:40:57, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:40:57, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:40:59, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:41:02, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:41:02, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:41:53, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:41:55, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:42:58, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:43:00, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:43:00, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:43:03, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:43:03, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:43:05, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:45:44, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:45:44, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:45:46, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:46:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:46:51, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:46:51, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:47:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:47:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:47:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:47:59, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:47:59, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:48:02, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:48:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:48:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:48:39, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:48:39, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:48:42, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:48:42, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:51:05, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:51:07, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:51:07, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:52:11, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:52:11, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:52:13, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:52:38, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:52:41, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:53:13, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:53:13, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:53:16, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:53:16, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:53:51, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:53:51, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:53:53, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:53:53, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:54:18, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:54:18, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:54:21, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:54:23, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:54:23, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:54:26, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:55:16, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:55:18, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:55:19, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:56:02, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:56:02, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:56:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:56:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:56:19, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:56:19, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:56:22, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:56:24, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:56:24, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:56:27, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:56:27, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:57:17, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:57:19, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:58:22, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:58:22, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:59:22, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:59:23, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:59:25, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:59:25, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
22:01:23, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
22:01:25, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
22:01:25, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
22:02:10, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
22:02:10, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
22:02:13, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
22:02:13, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
22:03:31, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
22:03:34, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
22:03:34, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
22:03:54, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
22:03:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
22:04:36, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
22:04:39, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
22:05:26, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
22:05:29, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
22:05:29, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
22:05:31, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
