12:59:17 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
Service discovery failed DEVICE:07 [9 Mar 2011 19:06:14 GMT]
13:38:02 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
01:09:44, 00:23:D4:6A:A4:E2, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 
01:10:05, 00:23:D4:6A:A4:E2, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 
Service discovery failed DEVICE:08 [16 Mar 2011 06:12:38 GMT]
ty cancled election initiation [16 Mar 2011 06:33:56 GMT]
Service discovery failed DEVICE:ty [16 Mar 2011 07:01:05 GMT]
ty cancled election initiation [16 Mar 2011 07:05:21 GMT]
ty cancled election initiation [16 Mar 2011 07:12:01 GMT]
ty cancled election initiation [16 Mar 2011 07:16:15 GMT]
