09:09:11, 00:23:D4:6A:BF:DE, GARBAGE, true
09:09:45, 00:23:D4:6A:BF:DE, 192.168.1.5, true
09:09:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:15:27, 00:23:D4:6A:BF:DE, GARBAGE, true
09:17:24, 00:23:D4:6A:BF:DE, GARBAGE, true
09:19:13, 00:23:D4:6A:BF:DE, GARBAGE, true
09:20:04, 00:23:D4:6A:BF:DE, GARBAGE, true
09:21:23, 00:23:D4:6A:BF:DE, 192.168.1.2, true
09:21:23, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:21:23, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:21:23, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:21:23, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:28:24, 00:23:D4:6A:BF:DE, GARBAGE, true
09:29:10, 00:23:D4:6A:BF:DE, GARBAGE, true
09:31:31, 00:23:D4:6A:BF:DE, GARBAGE, true
09:39:19, 00:23:D4:6A:BF:DE, GARBAGE, true
09:41:55, 00:23:D4:6A:BF:DE, GARBAGE, true
09:49:31, 00:23:D4:6A:BF:DE, GARBAGE, true
09:49:31, 00:23:D4:6A:BF:DE, GARBAGE, true
09:50:07, 00:23:D4:6A:BF:DE, 192.168.1.5, true
09:50:07, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:50:07, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:52:21, 00:23:D4:6A:BF:DE, GARBAGE, true
09:53:46, 00:23:D4:6A:BF:DE, 192.168.1.1, true
09:53:46, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:53:46, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:53:46, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:53:46, 00:23:D4:6A:BF:DE, GARBAGE IP, true
09:59:19, 00:23:D4:6A:BF:DE, GARBAGE, true
10:02:13, 00:23:D4:6A:BF:DE, GARBAGE, true
10:02:57, 00:23:D4:6A:BF:DE, 192.168.1.5, true
10:02:57, 00:23:D4:6A:BF:DE, GARBAGE IP, true
