10:23:18, 00:23:D4:6A:F5:43, GARBAGE IP, true
10:23:52, 00:23:D4:6A:F5:43, GARBAGE, true
10:49:24, 00:23:D4:6A:F5:43, 192.168.1.9, true
10:49:24, 00:23:D4:6A:F5:43, GARBAGE IP, true
10:49:24, 00:23:D4:6A:F5:43, GARBAGE IP, true
10:49:24, 00:23:D4:6A:F5:43, GARBAGE IP, true
10:49:24, 00:23:D4:6A:F5:43, GARBAGE IP, true
10:49:24, 00:23:D4:6A:F5:43, GARBAGE IP, true
10:50:03, 00:23:D4:6A:F5:43, 192.168.1.5, true
10:50:03, 00:23:D4:6A:F5:43, GARBAGE IP, true
10:56:02, 00:23:D4:6A:F5:43, GARBAGE, true
11:02:44, 00:23:D4:6A:F5:43, GARBAGE, true
11:10:05, 00:23:D4:6A:F5:43, GARBAGE, true
11:13:28, 00:23:D4:6A:F5:43, GARBAGE, true
11:17:21, 00:23:D4:6A:F5:43, GARBAGE, true
11:29:31, 00:23:D4:6A:F5:43, 192.168.1.12, true
11:29:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:29:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:29:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:29:32, 00:23:D4:6A:F5:43, 192.168.1.7, true
11:29:32, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:29:32, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:29:32, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:29:32, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:30:37, 00:23:D4:6A:F5:43, GARBAGE, true
11:30:55, 00:23:D4:6A:F5:43, 192.168.1.12, true
11:30:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:30:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:30:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:32:19, 00:23:D4:6A:F5:43, 192.168.1.12, true
11:32:19, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:32:19, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:32:19, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:48:58, 00:23:D4:6A:F5:43, 192.168.1.2, true
11:48:58, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:48:58, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:48:58, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:48:58, 00:23:D4:6A:F5:43, GARBAGE IP, true
11:52:38, 00:23:D4:6A:F5:43, GARBAGE, true
11:56:37, 00:23:D4:6A:F5:43, GARBAGE, true
