qwerty cancled election initiation [17 Mar 2011 07:35:11 GMT]
qwerty cancled election initiation [17 Mar 2011 08:17:35 GMT]
qwerty cancled election initiation [17 Mar 2011 08:42:22 GMT]
Service discovery failed DEVICE:HTC Dream [17 Mar 2011 09:19:19 GMT]
Device or resource busy DEVICE:qwerty [17 Mar 2011 10:13:58 GMT]
Service discovery failed DEVICE:HTC Dream [17 Mar 2011 10:14:04 GMT]
Device or resource busy DEVICE:qwerty [17 Mar 2011 10:26:02 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 12:02:56 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 12:18:52 GMT]
HTC Dream cancled election initiation [17 Mar 2011 12:38:41 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 13:03:47 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 13:27:45 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 15:35:50 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 16:42:03 GMT]
HTC Dream cancled election initiation [17 Mar 2011 17:34:37 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 18:09:26 GMT]
Connection timed out DEVICE:HTC Dream [17 Mar 2011 18:18:14 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 18:18:19 GMT]
Connection refused DEVICE:qwerty [17 Mar 2011 19:54:48 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 20:53:34 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 21:06:09 GMT]
Connection timed out DEVICE:HTC Dream [17 Mar 2011 21:27:58 GMT]
Service discovery failed DEVICE:qwerty [17 Mar 2011 21:28:03 GMT]
Service discovery failed DEVICE:HTC Dream [17 Mar 2011 23:16:26 GMT]
Connection timed out DEVICE:HTC Dream [18 Mar 2011 08:56:01 GMT]
Service discovery failed DEVICE:HTC Dream [18 Mar 2011 09:24:55 GMT]
Service discovery failed DEVICE:HTC Dream [18 Mar 2011 09:33:24 GMT]
Service discovery failed DEVICE:HTC Dream [18 Mar 2011 10:00:58 GMT]
Service discovery failed DEVICE:HTC Dream [18 Mar 2011 11:11:44 GMT]
Service discovery failed DEVICE:HTC Dream [18 Mar 2011 11:24:20 GMT]
Service discovery failed DEVICE:HTC Dream [18 Mar 2011 13:30:00 GMT]
Service discovery failed DEVICE:qwerty [18 Mar 2011 15:06:34 GMT]
Service discovery failed DEVICE:HTC Dream [18 Mar 2011 15:06:39 GMT]
Service discovery failed DEVICE:qwerty [18 Mar 2011 20:08:21 GMT]
Service discovery failed DEVICE:qwerty [18 Mar 2011 21:03:01 GMT]
Service discovery failed DEVICE:HTC Dream [19 Mar 2011 02:29:00 GMT]
