02:49:50, 00:23:D4:69:79:1C, GARBAGE, true
02:59:13, 00:23:D4:69:79:1C, GARBAGE, true
03:01:12, 00:23:D4:69:79:1C, GARBAGE, true
03:15:11, 00:23:D4:69:79:1C, GARBAGE, true
03:19:57, 00:23:D4:69:79:1C, GARBAGE, true
03:31:42, 00:23:D4:69:79:1C, GARBAGE, true
03:35:55, 00:23:D4:69:79:1C, GARBAGE, true
03:44:55, 00:23:D4:69:79:1C, 192.168.1.1, true
03:44:55, 00:23:D4:69:79:1C, GARBAGE IP, true
03:44:55, 00:23:D4:69:79:1C, GARBAGE IP, true
03:44:55, 00:23:D4:69:79:1C, GARBAGE IP, true
03:47:11, 00:23:D4:69:79:1C, GARBAGE, true
03:56:41, 00:23:D4:69:79:1C, GARBAGE, true
04:01:23, 00:23:D4:69:79:1C, GARBAGE, true
04:10:44, 00:23:D4:69:79:1C, GARBAGE, true
04:20:01, 00:23:D4:69:79:1C, GARBAGE, true
04:24:42, 00:23:D4:69:79:1C, GARBAGE, true
04:29:23, 00:23:D4:69:79:1C, GARBAGE, true
04:33:49, 00:23:D4:69:79:1C, GARBAGE, true
04:43:11, 00:23:D4:69:79:1C, GARBAGE, true
04:47:51, 00:23:D4:69:79:1C, GARBAGE, true
04:52:23, 00:23:D4:69:79:1C, GARBAGE, true
04:57:05, 00:23:D4:69:79:1C, GARBAGE, true
05:00:42, 00:23:D4:69:79:1C, 192.168.1.9, true
05:00:42, 00:23:D4:69:79:1C, GARBAGE IP, true
05:00:42, 00:23:D4:69:79:1C, GARBAGE IP, true
05:00:42, 00:23:D4:69:79:1C, GARBAGE IP, true
05:01:24, 00:23:D4:69:79:1C, 192.168.1.9, true
05:01:24, 00:23:D4:69:79:1C, GARBAGE IP, true
05:01:24, 00:23:D4:69:79:1C, GARBAGE IP, true
05:01:24, 00:23:D4:69:79:1C, GARBAGE IP, true
05:06:22, 00:23:D4:69:79:1C, GARBAGE, true
05:08:20, 00:23:D4:69:79:1C, GARBAGE, true
05:17:28, 00:23:D4:69:79:1C, GARBAGE, true
05:22:12, 00:23:D4:69:79:1C, GARBAGE, true
05:26:41, 00:23:D4:69:79:1C, GARBAGE, true
05:33:27, 00:23:D4:69:79:1C, GARBAGE, true
05:42:44, 00:23:D4:69:79:1C, GARBAGE, true
05:44:54, 00:23:D4:69:79:1C, GARBAGE, true
05:54:07, 00:23:D4:69:79:1C, GARBAGE, true
05:58:53, 00:23:D4:69:79:1C, GARBAGE, true
06:03:17, 00:23:D4:69:79:1C, GARBAGE, true
06:12:27, 00:23:D4:69:79:1C, GARBAGE, true
06:14:45, 00:23:D4:69:79:1C, GARBAGE, true
06:21:40, 00:23:D4:69:79:1C, GARBAGE, true
06:26:01, 00:23:D4:69:79:1C, 192.168.1.6, true
06:26:01, 00:23:D4:69:79:1C, GARBAGE IP, true
06:26:01, 00:23:D4:69:79:1C, GARBAGE IP, true
06:28:41, 00:23:D4:69:79:1C, GARBAGE, true
06:33:09, 00:23:D4:69:79:1C, GARBAGE, true
06:37:56, 00:23:D4:69:79:1C, GARBAGE, true
06:42:24, 00:23:D4:69:79:1C, GARBAGE, true
06:44:30, 00:23:D4:69:79:1C, GARBAGE, true
06:49:10, 00:23:D4:69:79:1C, GARBAGE, true
06:53:40, 00:23:D4:69:79:1C, GARBAGE, true
06:58:22, 00:23:D4:69:79:1C, GARBAGE, true
07:02:54, 00:23:D4:69:79:1C, GARBAGE, true
07:12:24, 00:23:D4:69:79:1C, GARBAGE, true
07:14:17, 00:23:D4:69:79:1C, GARBAGE, true
07:18:55, 00:23:D4:69:79:1C, GARBAGE, true
07:28:41, 00:23:D4:69:79:1C, GARBAGE, true
07:42:49, 00:23:D4:69:79:1C, GARBAGE, true
